Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
426,316,70,46.97,1585611.46,
134,133,4,100,1641291.31,
403,169,34,100,8917978.44,48
109,109,19,100,1999944.4,
185,179,23,100,247392.78,
428,317,58,43.31,5000000,
279,237,8,100,1608980.82,
112,112,8,100,34094.92,
114,114,23,100,13719.44,
450,247,61,34.28,136179.06,36
458,31,7,100,1018009.05,58
156,153,8,100,415409.73,
157,154,8,100,240425.58,
273,235,51,25,669149.44,
343,272,49,50,384929.55,
36,36,8,100,535898.96,
33,33,8,100,188185.06,
485,223,80,100,231049.38,80
500,223,50,100,190513.01,91
16,16,5,100,352339.78,
183,177,8,100,152182.02,
288,243,47,50,580271.09,
200,186,39,100,337442.14,
330,266,47,50,535815.48,
395,217,45,100,2835534.13,45
334,268,47,50,335191.14,
77,79,2,100,204835.31,
320,261,47,50,575207.61,
144,8,9,100,1076114.09,2
212,194,8,100,231674.07,
406,256,64,100,1241856.28,51
113,113,8,100,560045.69,
368,287,15,100,1239967.24,
137,136,4,100,1543249.05,
178,83,14,100,69745.68,7
97,98,21,100,356885.24,
339,168,11,100,14897.91,24
128,51,15,100,101961.77,1
437,326,23,100,2121784.79,
202,188,14,100,3152541.25,
308,232,23,100,242395.27,
402,298,23,100,259982.95,
460,274,47,100,128824.55,60
225,204,46,100,580117.3,
115,115,14,100,1925834.96,
32,32,2,100,179295.69,
235,214,19,100,384489.68,
374,292,47,50,292028.04,
281,238,49,50,1394624.25,
19,19,1,100,495386.99,
311,254,49,50,785182.47,
239,217,45,100,13094384.6,
244,222,47,50,324767.44,
382,252,69,10,4597.67,35
299,249,47,50,664448.33,
180,174,33,100,860177.63,
75,77,2,100,314011.27,
447,336,23,100,86320.43,
249,225,8,100,247639.15,
433,322,23,100,38464.7,
89,91,15,100,2112963.5,
70,71,2,100,277849.57,
138,137,14,100,1368130.24,
497,346,45,100,52107.05,
297,248,61,50,708396.45,
87,89,2,100,166182.09,
337,269,49,50,507032.92,
204,138,26,8.28,28793.55,13
324,263,47,50,838878.57,
369,113,8,100,21936.69,31
162,160,31,100,10672979.84,
329,265,23,100,105803.47,
348,145,19,100,129913.83,25
472,304,80,100,150000,68
11,11,2,100,138616.54,
40,40,12,100,911727.29,
99,100,15,100,1897135.07,
379,250,49,50,40130.94,32
1,1,1,100,765271.96,
71,73,2,100,156634.83,
489,289,84,100,4000988.12,84
289,243,49,50,580271.09,
169,66,15,100,249998.01,5
479,191,33,100,2320000.29,75
352,278,23,100,576355.07,
417,308,23,100,341191.76,
9,9,3,100,10245184.68,
80,82,16,100,1365167.45,
470,302,71,100,349700.98,66
443,332,23,100,1126128.42,
15,15,5,100,2046250.74,
110,110,14,100,711905.95,
194,42,13,9.29,789359.41,9
438,327,28,100,4073321.51,
319,260,49,50,625695.62,
245,222,49,50,324767.45,
332,267,47,50,414619.3,
92,94,15,100,768653.99,
188,181,23,11.89,288001.46,
161,159,23,100,224514.82,
477,316,80,100,350347.23,73
120,120,11,100,534299.18,
155,43,23,100,46704.24,3
35,35,9,100,350223.98,
285,241,47,50,716532.05,
393,210,23,100,195486.23,43
145,144,14,100,3510026.8,
57,58,15,100,1933955.28,
283,239,49,49.54,1225902.4,
457,242,80,100,136000,56
22,22,1,100,110231.01,
30,30,6,100,3864277.58,
315,258,47,52.02,1080266.49,
160,158,8,100,257527.52,
292,245,45,100,1392227.86,
449,338,23,100,782653.97,
410,301,28,100,2009194.52,
53,54,14,100,1660524.15,
277,236,53,25,585193,
441,330,14,100,1467220.84,
313,256,64,100,7758143.27,
336,269,47,50,507032.91,
205,138,27,7.76,26990.55,13
411,302,71,100,1628548.43,
6,6,1,100,396152,
148,147,26,61.65,729207.08,
314,257,23,100,191102.95,
473,216,33,100,501787.56,69
196,106,8,100,22881.92,10
294,246,60,50,685920.34,
184,178,34,100,21339571.92,
213,195,6,100,2044273.97,
310,254,47,50,785182.47,
427,317,73,56.69,6544264.19,
179,173,8,100,546956.66,
467,299,2,100,132689.24,63
471,313,80,100,605694.83,67
257,165,10,100,2239902.7,20
282,239,47,50.46,1248668.45,
419,310,67,100,253004,
229,208,23,100,345029.89,
149,147,27,38.35,453610.57,
425,316,74,53.03,1790279.34,
444,333,23,100,270350.99,
491,223,50,100,62534.92,86
209,192,8,100,231322.48,
132,131,25,100,1197740.34,
373,291,34,100,74597195.73,
171,167,29,100,9478100.11,
407,289,34,100,9989999.9,52
478,328,80,100,55857.96,74
328,86,15,100,175457.73,23
490,273,23,100,50209.63,85
167,164,8,100,93076.66,
237,157,30,100,843850.36,17
266,231,49,50,732759.15,
415,306,23,100,1044003.1,
367,286,21,100,759835.68,
409,300,28,100,1479276.71,
111,111,18,100,1732253.36,
384,271,47,50,13039.08,37
73,75,2,100,216664.1,
241,219,48,100,1527120.85,
220,199,45,100,2227682.91,
96,97,8,100,111001.71,
435,324,77,100,797174.82,
303,251,47,50,531004.18,
210,193,8,100,193215.72,
146,145,19,100,1682835.91,
242,220,47,50,297164.13,
323,262,49,50,514945.17,
463,339,34,100,5047,
469,295,12,100,53320.01,65
18,18,5,100,173918.24,
100,72,2,100,208817.68,
388,245,23,34.73,84198.03,40
94,96,12,24.13,442374,
233,212,45,100,1680753.37,
211,137,14,100,105000,14
312,255,63,100,4707782.49,
108,108,14,100,2825268.9,
219,138,27,48.35,448009.45,
269,234,49,50,767409.85,
14,14,2,100,166787.21,
62,63,16,100,1600000,
139,139,8,100,448312,
296,247,60,50,2231910.47,
317,259,8,100,139537.75,
207,190,8,100,462594.32,
446,335,79,100,520383.27,
475,187,41,100,10000000,71
129,128,11,100,356454.95,
90,92,15,100,3841892.06,
456,156,28,100,96867.79,55
49,50,14,100,924635.34,
246,223,50,100,789930.32,
182,176,23,100,167031.74,
38,38,8,100,987933.07,
82,84,16,100,1087605.12,
307,42,13,100,7280382.84,
48,49,14,100,1005256.67,
106,106,8,100,247115.84,
127,127,23,100,987110.19,
136,135,14,100,689720.03,
140,140,15,100,1741190.19,
152,150,18,100,1746151.51,
216,197,8,100,168653.9,
104,104,8,100,493236.18,
228,207,23,100,336301.37,
481,289,84,100,4999965.87,77
492,344,45,100,16315.96,
434,323,1,100,879440.44,
173,169,34,100,39206985.14,
195,42,37,90.71,7710641.08,9
223,202,10,100,1018817.88,
349,276,47,50,615664.22,
359,282,23,100,111548.27,
408,299,28,100,967922.47,
251,226,52,25,934187.15,
226,98,21,100,7291.24,16
153,151,29,100,3112690.09,
21,21,1,100,993154.09,
41,41,8,100,945971.04,
66,67,2,100,180968.5,
101,101,2,100,317426.7,
274,8,9,100,3960494.28,22
2,2,1,100,122192,
31,31,7,100,3760030.26,
431,320,72,100,443932.72,
451,247,68,65.72,261078.18,36
361,284,23,100,1332025.75,
91,93,15,100,2808351.3,
254,147,26,61.65,31802.63,18
175,171,8,100,790438.66,
480,174,33,100,104161.43,89
351,277,17,100,1031475.13,
