Id_Obra,Año,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Beneficiarios,Id_Convenio,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Observaciones,Enviar_Para,Id_Oficio_Asignacion_Obra
314,2015,0028-ESCALATORIA 3,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBUS) 3A Y 4A ETAPA CORREDOR TRONCAL ECHEVESTE-SAN JERONIMO 4A. ETAPA (VIALIDAD AV. TALABARTEROS DE AURORA TRAMO: DE BLVD HIDALGO A ESTACION DE TRANSFERENCIA,Unitario,1,1,0,NULL,Obra,1,,CONTRATADO,0
315,2015,0028 ESC 4,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE-SAN JERONIMO 4a ETAPA (VIALIDAD AV. TALABARTEROS DE AURORA TRAMO: DE BLVD. HIDALGO A ESTACIÓN DE TRANSFERENCIA) ,Unitario,1,1,0,NULL,Obra,1,03/FEB/2017 XOCH,CONTRATADO,0
316,2015,0028 ESC 5,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE-SAN JERONIMO 4a ETAPA (VIALIDAD AV. TALABARTEROS DE AURORA TRAMO: DE BLVD. HIDALGO A ESTACIÓN DE TRANSFERENCIA) ,Unitario,1,1,0,NULL,Obra,1,08/FEB/2017 XOCH,CONTRATADO,0
317,2015,0028 ESC 6,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE-SAN JERONIMO 4a ETAPA (VIALIDAD AV. TALABARTEROS DE AURORA TRAMO: DE BLVD. HIDALGO A ESTACIÓN DE TRANSFERENCIA) ,Unitario,1,1,0,NULL,Obra,1,10/FEB/2017 XOCH,CONTRATADO,0
318,2015,0073-ESC,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3RA Y 4TA ETAPA CORREDOR TRONCAL VILLA-ESCOBEDO-ALDAMA 3RA ETAPA (3RA ETAPA VIALIDAD BLVD. FCO VILLA TRAMO DE AV. SATURNO A CALLE NENUFAR.,Unitario,1,1,0,NULL,Obra,1,13/02/2017 ALMA,CONTRATADO,0
319,2015,0078 ESC 1,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONCAL VILLA - ESCOBEDO - ALDAMA 3A. ETAPA (6TA ETAPA PARADEROS TRAMO BLVD. JUAN ALONSO DE TORRES A BLVD. ADOLFO LOPEZ MATEOS; PARADERO ALFARO TIPO I, Y PARADERO VICENTE VALTIERRA TIPO I, PARADERO FRAY DANIEL MIRELES TIPO I)",Unitario,1,1,0,NULL,Obra,1,13/FEB/2017 XOCH,CONTRATADO,0
320,2015,0078 ESC 2,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONCAL VILLA - ESCOBEDO - ALDAMA 3A. ETAPA (6TA ETAPA PARADEROS TRAMO BLVD. JUAN ALONSO DE TORRES A BLVD. ADOLFO LOPEZ MATEOS; PARADERO ALFARO TIPO I, Y PARADERO VICENTE VALTIERRA TIPO I, PARADERO FRAY DANIEL MIRELES TIPO I)",Unitario,1,1,0,NULL,Obra,1,14/FEB/2017 XOCH,CONTRATADO,0
321,2015,0090-ESCALATORIAS,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE SAN JERÓNIMO 4a. ETAPA (VIALIDAD CALLE DEL AVÍO TRAMO: DE BLVD. HIDALGO A ESTACIÓN DE TRANSFERENCIA),Unitario,1,1,0,NULL,Obra,1,23/02/2017 ALMA,CONTRATADO,0
322,2015,0072-ESCALATORIA,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3A Y 4A. ETAPA CORREDOR TRONCAL VILLA-ESCOBEDO-ALDAMA 3A ETAPA (2DA ETAPA VIALIDAD BLVD. FCO. VILLA TRAMO: DE CALLE ANTONIO LANZAGORTA A AV. SATURNO),Unitario,1,1,0,NULL,Obra,1,23/02/2017 ALMA,CONTRATADO,0
323,2015,0112 ESCALATORIA,PLAZA COMUNITARIA VILLA DE LAS FLORES,Unitario,1,1,0,NULL,Obra,1,27/02/2017 ALMA 11/abr/2017 xoch se modif por cambio de montos por ofic modif de costos ,CONTRATADO,0
