Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
125,121,1,100,2373888.37,
299,258,40,100,254202.43,
412,218,88,51.44,126362.93,
420,340,14,100,16831.86,
443,355,42,100,2739.04,
111,107,10,100,592652.47,
254,220,53,100,430621.06,
157,152,30,100,3322513.33,
164,156,30,100,3513252.68,
341,287,1,100,118535.54,
379,308,48,50,240659.8,
103,99,6,100,2821246.25,
121,117,1,100,1214637.73,
173,103,21,100,92422.72,
285,248,45,100,4077219.25,
213,184,48,68.4,759287.82,
100502,390,14,100,398601.11,
54,53,6,100,1487273.75,
214,185,1,100,550620.97,
191,175,41,100,53532.77,
66,67,14,100,15685719.13,
229,196,1,100,1160205.87,
29,29,9,100,330303.09,
101,97,14,100,10100140.9,
141,137,20,100,216755.83,
302,261,40,100,299310.21,
383,266,64,100,30000,43
100499,389,14,100,2777216.9,
87,22,7,100,146014.05,3
120,116,6,100,1740482.26,
365,292,1,100,117045.51,
456,320,76,100,599999.9,65
323,276,14,100,23192.13,
248,212,29,100,512409.79,
264,228,40,100,247744.3,
71,72,14,100,32986857.48,
455,312,92,30.09,30327.09,64
461,359,95,100,5097.76,
270,233,58,100,1860753.94,
165,157,30,100,1739010.76,
237,137,20,100,156234.09,15
139,135,6,100,788620.48,
156,151,35,52,508313.15,
374,151,36,48,38431.79,42
25,25,1,100,194848.02,
75,76,15,100,1429294.79,
145,141,1,100,842213.55,
100488,382,14,100,721401.75,
64,65,14,100,14637212.75,
246,210,45,100,1401596.96,
38,37,1,100,1293359.4,
166,158,30,100,1011425.48,
51,50,6,100,879174.63,
430,342,14,100,18419.51,
235,201,25,100,1150661.19,
405,330,81,100,4580022.49,
440,352,14,100,9003.76,
90,88,1,100,314734.67,
134,130,33,100,197360.02,
135,131,6,100,928738.56,
373,306,81,100,2107802.84,
429,341,14,100,21531.48,
438,350,14,100,4289.83,
211,183,44,25,291576.61,
467,315,40,100,1648105.73,
402,328,40,100,332368.2,
313,269,29,100,150045.8,
80485,361,102,100,1008.75,82
153,149,30,100,668649.29,
152,148,30,100,1858565.07,
476,95,14,100,1409446.94,71
10,11,2,100,105947.87,
158,153,1,100,320450.7,
468,71,14,100,1907196.15,69
50478,373,14,100,14749.43,
417,337,14,100,33439.31,
387,316,40,100,2476333.72,
289,252,52,100,1573770.49,
384,312,69,100,1479789.61,
