Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado
90410,373,7,100,552485.94
90411,374,16,100,645334.43
90412,375,25,100,1194676.75
90413,376,1,100,260976.99
90415,378,1,100,197943.67
90418,381,25,100,1449141.99
90419,382,61,100,17943376.86
90420,383,25,100,1038244.93
90421,384,25,100,1257445.17
90422,385,25,100,2678194.5
90423,386,25,100,4959710.82
90424,387,25,100,1257316.34
90425,388,69,100,539178.18
90426,389,67,100,2960728.34
90427,390,1,100,352867.63
90428,391,43,100,787694.65
90430,393,25,100,1622456.71
90432,395,25,100,1254703.08
90433,396,48,100,154840.18
90434,397,67,100,1652669.37
90435,398,67,100,1225481.81
90436,399,55,100,167716.14
90437,400,25,100,6464940.43
90438,401,25,100,3125071.04
90439,402,11,100,940460.71
90440,403,1,100,27061.45
90441,404,67,100,964986.1
90442,405,63,100,950460.72
90443,406,25,100,3373151.22
90444,407,25,100,8345103.1
90445,408,15,100,1545443.13
90447,189,25,100,348734.53
90448,410,66,100,5865131.96
90451,412,70,97.93,290882.35
90452,412,55,2.07,6136
90457,416,64,85.52,1978000
90458,416,41,14.48,256484.13
90461,418,1,100,259910.28
90462,419,25,100,6263087.69
90463,420,25,100,2005074.16
90464,30,15,100,2487452.51
90465,421,25,100,1666566.83
90466,422,25,100,8352546.94
90467,423,38,100,194527
90468,424,15,100,1570094.85
90469,425,48,100,158571.23
90470,426,55,37,172951.99
90471,426,70,63,290882.35
90472,427,55,8,25085.28
90473,427,70,92,290882.35
90474,428,25,100,2203539.82
90476,430,25,100,3221858.67
90477,431,55,3,8476.85
90478,431,70,97,290882.35
90479,432,68,100,428881.72
90481,417,55,15.47,53213.09
90482,417,70,84.53,290882.35
90483,434,55,31,133219.17
90484,434,70,69,290882.35
90485,435,25,100,2967901.24
90486,436,25,100,2198380.44
90487,437,25,100,2293656.16
90488,438,70,90.01,290882.35
90489,438,55,9.99,32251.17
90490,439,70,97.93,290882.35
90491,439,55,2.07,6136.8
90492,440,70,89.96,290882.35
90493,440,55,10.04,32446.06
90494,441,25,100,2796887.34
90495,442,25,100,4004547.1
90496,311,35,100,336628.82
90497,443,25,100,4347255.5
90498,444,15,100,347011.16
90501,447,70,53.53,290882.35
90502,447,55,46.47,252467.97
90503,94,21,100,402381.15
90504,100,21,100,381589.9
90506,448,83,100,2638080
90507,99,21,100,389825.99
90508,104,21,100,404190.14
90509,449,70,96.56,290882.35
90510,449,55,3.44,10365.52
90511,450,61,100,2832615.15
90512,451,72,49.85,1930917.6
90513,452,73,50.15,1941960.71
90514,453,25,100,3277955.53
90515,454,83,100,1500000
90516,455,70,94.47,290882.35
90517,455,55,5.53,17001.66
90518,456,79,100,1278008.03
90519,457,70,97.93,290882.35
90520,457,55,2.07,6134.2
90521,458,83,100,1254454.46
90523,460,70,78.44,290882.35
90524,460,55,21.56,79942.15
90525,461,83,100,1500
90526,462,1,100,220612.98
90527,92,21,100,433207.34
90528,106,21,100,346565.68
90529,463,80,100,865798.1
90530,464,1,100,1353983.9
90531,465,25,100,2187272.54
90532,466,25,100,4192462.96
90533,467,25,100,3730232.64
90534,203,25,100,221054.54
90535,468,88,100,897098.27
90536,469,25,100,4264019.75
90537,470,25,100,1735285.34
90538,471,84,100,96962.89
90539,472,83,100,800000
90540,473,25,100,3350756.69
90541,474,25,100,3043434.1
90542,475,25,100,1807492.79
90543,476,7,100,151254.93
90545,477,83,100,734310.21
90546,478,7,100,460436.8
90547,479,19,100,547741.41
90548,480,81,100,1102000
90549,481,55,17.98,63755.15
90550,481,70,82.02,290882.35
90551,81,21,100,385506.78
90552,482,55,1.09,3204.62
90553,482,70,98.91,290882.35
90555,483,78,100,877043.88
90556,484,77,100,860502.42
90557,485,76,100,919214.88
90558,486,74,100,890265.35
90559,487,41,0.77,7685.42
90560,487,75,99.23,989000
90561,113,21,100,459253.56
90562,108,21,100,387420.58
90563,268,44,100,565041.23
90564,172,15,100,1286497.33
90565,110,21,100,369030.82
90566,488,82,100,1725129.25
90567,118,21,100,401126.04
90568,112,21,100,432209.39
90569,489,1,100,233230.3
90570,490,87,100,1911560.38
90571,491,10,100,19293077.31
90572,492,89,100,305209.92
90573,493,41,10.9,677917.91
90574,493,65,89.1,5538400
90575,494,1,100,114019.17
90576,495,32,100,1707362.52
90577,496,48,100,749714.12
90578,103,21,100,426562.39
90579,497,25,100,2921061.34
90580,498,86,100,599381.77
90581,499,32,100,1469505.28
90582,500,95,100,2182815.77
90583,501,86,100,367292.35
90584,502,32,100,1799962.72
90585,503,18,100,1570836.62
90586,504,93,100,960119
90587,505,95,100,2394834.94
90588,506,83,100,2997940.59
90589,275,12,100,42969.85
90590,507,21,100,481594.74
90591,508,15,100,1499506.19
90592,509,95,100,2329308.35
90593,510,32,100,1469505.28
90594,511,31,100,1202922.13
90595,250,35,100,155163.71
90596,512,21,100,1544872.14
90597,513,21,100,1511871.8
90599,515,98,100,2938272.41
90600,516,67,100,1424099.44
90601,517,32,100,1249999.62
90602,518,23,100,1525239.46
90603,519,31,100,1205128.28
90604,225,13,100,1376058.74
90605,520,48,100,309664.53
90606,521,32,100,1469505.28
90607,129,11,100,28199.06
90608,522,23,100,453296.17
90609,523,83,44,1529291.53
90610,523,106,56,1915058.76
90611,524,104,40,1918437.28
90612,524,103,60,2877655.93
90613,333,36,100,583857.67
90614,525,71,100,1500000
90616,527,96,100,620512.33
90617,528,32,100,1469505.28
90618,529,95,100,2965371.89
90619,530,1,100,1559788.25
90620,398,67,100,267765.24
90621,531,105,100,999999.7
90622,532,85,100,3961091.49
90623,533,25,100,1373634.18
90624,534,95,100,3633546.52
90625,535,97,100,3531700.09
90626,536,1,100,79217.34
90627,537,10,100,16499356.08
90628,538,1,100,4340739.99
90629,539,97,100,2573317.04
90630,327,54,100,350298.4
90631,540,70,88.49,290882.35
90632,540,5,11.51,37839.9
90633,541,25,100,973203.53
90634,542,38,100,192580.69
90635,543,100,100,887100.3
90636,544,41,9.34,101899.63
90637,544,101,90.66,989000
90638,391,43,100,878935.27
90639,305,49,100,301302.21
90641,545,25,100,3633140.98
90642,546,95,100,2710054.13
90643,547,70,100,290882.35
90644,294,46,50,78022.99
90645,294,16,50,78022.99
90647,286,36,100,1077438.17
90648,358,34,100,846971.71
90649,179,25,100,346717.16
90651,548,67,100,803255.46
90652,142,11,100,82000.27
90654,285,36,100,1331774.97
90655,379,48,100,306986.68
90656,380,48,100,324126.33
90657,488,82,100,274870.75
90659,549,103,100,851977.82
90660,514,107,100,1000000
90662,258,35,100,565000
90665,413,55,27.06,107940.67
90666,413,70,72.94,290882.35
90667,302,36,100,817973.96
90668,292,36,100,974972.77
90669,318,37,100,758588.92
90670,234,11,100,142499.89
90671,324,37,100,1155766.32
90672,412,108,100,110197.08
90673,448,83,100,361919.01
90674,550,55,4.75,14491.38
90675,550,70,95.25,290882.35
90676,551,48,100,118207.49
90677,552,48,100,379952.69
90678,246,25,100,196757.02
90679,367,62,100,84840.33
90680,410,66,100,68868.04
90681,365,57,100,570017.39
90682,553,61,100,16774070.54
90683,554,98,100,2695101.13
90685,556,18,100,1496734.64
90686,557,18,100,1366135.11
90688,315,37,100,1112489.48
90689,397,67,100,88923.57
90690,539,97,100,26681.45
90691,558,15,100,456630.74
90692,249,10,100,5639296.77
90693,559,18,100,1291941.85
90694,560,31,100,466250.4
90696,561,112,49.3,344177.62
90697,561,10,50.7,353909.35
90698,562,15,100,1494312
90699,563,42,100,1079739.46
90700,564,95,100,2372217.07
90701,356,56,100,273223.3
90703,565,1,100,519231.52
90704,311,35,100,266915.74
90705,566,114,100,2374019.25
90706,567,23,100,1096800.62
90707,568,36,50,310256.17
90708,568,116,50,310256.16
90709,569,36,50,437593.5
90710,569,116,50,437593.51
90712,571,48,100,3633119.55
90713,572,36,50,550624.43
90714,572,116,50,550624.42
90715,573,36,50,191061.95
90716,573,116,50,191061.96
90717,574,36,50,223970.12
90718,574,116,50,223970.12
90719,575,36,50,517716.26
90720,575,116,50,517716.26
90721,576,48,100,756028.25
90722,287,35,100,474837.55
90723,577,36,50,88377.77
90724,577,116,50,88377.76
90725,578,36,50,163327.16
90726,578,116,50,163327.15
90727,579,36,50,440675.14
90728,579,116,50,440675.16
90729,580,36,50,334909.32
90730,580,116,50,334909.32
90731,581,36,50,184898.67
90732,581,116,50,184898.66
90733,582,36,50,144837.28
90734,582,116,50,144837.29
90735,583,36,50,501318.12
90736,583,116,50,501318.11
90737,584,36,50,135592.36
90738,584,116,50,135592.35
90739,585,36,50,55469.6
90740,585,116,50,55469.6
90741,586,36,50,52387.95
90742,586,116,50,52387.96
90743,587,95,100,2559034.22
90744,588,109,100,2908467.62
90745,532,85,100,1081396.66
90746,534,95,100,719630.48
90747,589,25,100,1604540.66
90750,484,77,53.44,128497
90751,483,77,46.56,111956.12
90753,592,48,100,2797550.52
90754,593,48,100,1369879.9
90755,594,48,100,4022035.43
90756,595,32,100,587070.33
90757,596,30,100,874809
90758,559,18,100,338947.16
90759,597,61,100,4923887.84
90760,329,51,100,141588.64
90761,208,15,100,1148449.86
90762,598,16,100,836274.57
90763,599,7,100,173348.8
90764,600,111,100,1323127.25
90765,601,95,100,3541990.71
90766,602,27,100,1499994.54
90767,603,90,100,969677.06
90768,604,41,3.18,32463.19
90769,604,91,96.82,989000
90770,605,92,100,944230.78
90771,606,95,100,1995519.27
90772,607,117,100,7411942.96
90773,608,61,100,5189156.35
90774,609,61,100,3472206.83
90775,610,25,100,1508651.11
90776,611,31,100,1205128.28
90777,612,25,100,1017414.49
90778,613,25,100,780747.31
90779,614,25,100,882301.48
90780,615,25,100,544921.16
90781,616,25,100,769241.7
90782,617,25,100,1455208.11
90783,618,25,100,354120.38
90784,364,58,100,79337.54
90785,619,42,100,500000
90786,620,111,100,1329290.54
90787,146,24,100,686316.98
90788,316,50,100,141588.64
90789,621,113,100,599999.84
90790,622,25,100,1460650.93
90791,195,61,100,184000
90792,623,1,100,2553516.4
90793,624,89,100,59120.64
90794,625,89,100,75761.15
90795,195,38,100,60021.98
90796,419,25,100,1221895.71
90797,626,25,100,1413943.63
90798,627,25,100,4481991.32
90799,628,25,100,2224476.08
90800,629,95,100,1428137.76
90801,630,95,100,1511740.68
90803,632,1,100,744286.51
90806,437,25,100,415884.53
90807,407,25,100,1888229.32
90808,401,25,100,508726.25
90809,497,25,100,560699.53
90810,393,25,100,247389.85
90811,382,61,100,6016316.62
90812,170,25,100,2092429.38
90813,193,25,100,928189.79
90814,443,25,100,947808.73
90815,406,25,100,564127.5
90816,211,25,100,1144309.21
90817,385,25,100,477307.31
90818,400,25,100,529520.86
90819,240,25,100,545180.52
90820,205,25,100,1498994.01
90821,635,31,100,1205128.28
90822,436,25,100,269465.49
90823,428,25,100,391353.49
90824,421,25,100,360229.27
90825,441,25,100,425401.35
90826,442,25,100,729336.71
90827,323,25,100,713328.56
90828,335,25,100,617481.3
90829,182,25,100,1089009.38
90830,167,25,100,664878.54
90831,430,25,100,585599.76
90832,435,25,100,541922.92
90833,422,25,100,1996699.65
90834,450,61,100,360822.25
90835,304,25,100,293432.1
90836,325,25,100,549840.35
90837,267,25,100,64789.64
90838,636,25,100,4411313.16
90839,469,25,100,973802.61
90840,470,25,100,219382.2
90841,453,25,100,486667.16
90842,465,25,100,64000
90843,466,25,100,269013.53
90844,637,9,100,540000
90845,638,25,100,3069572.87
90846,638,25,100,923245.54
90847,639,55,100,281225.83
90848,640,55,100,173647.86
90849,641,5,100,646430.15
90850,642,5,100,445865.16
90851,643,25,100,4805546.3
90852,643,25,100,1285775.21
90853,644,95,100,1514090.1
90854,645,61,100,2597227.11
90855,646,10,0.53,6591.99
90856,646,120,99.47,1250000
90857,458,13,40,158218
90858,458,83,60,237327
90860,647,38,100,130242.8
90861,648,10,100,12207.82
90862,649,6,100,605882.88
90863,650,42,100,1566154.47
90864,651,95,100,3315915.67
90867,275,12,100,29838.83
90868,645,61,100,503430.78
90869,653,86,100,265668.07
90870,654,119,100,144933693.1
90871,607,117,100,1079500.02
90873,655,25,100,9841214.16
90874,504,93,100,28881
90875,545,25,100,840570.73
90876,386,25,100,972280.97
90878,242,25,100,41227.91
90879,535,97,100,468299.87
90880,186,25,100,451287.33
90881,329,51,100,72438.33
90882,316,50,100,72438.33
90883,588,97,100,591532.37
90885,467,25,100,999983.34
90886,185,61,100,910444.75
90887,204,61,100,1254861.25
90888,230,61,100,5197054.54
90889,420,25,100,536342.51
90890,553,61,100,5704639.88
90891,636,25,100,659473.43
90892,472,83,100,160000
