Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
92,311,2,15/12/2017 00:00,24/07/2017 00:00,20/12/2017 00:00,266915.74,0,0,1
93,356,1,23/11/2017 00:00,31/08/2017 00:00,12/12/2017 00:00,273223.3,0,0,1
94,559,1,23/11/2017 00:00,10/10/2017 00:00,16/12/2017 00:00,338947.16,0,0,1
95,287,1,21/12/2017 00:00,24/07/2017 00:00,30/12/2017 00:00,474837.55,0,0,1
96,532,1,23/11/2017 00:00,24/11/2017 00:00,10/02/2018 00:00,1081396.66,30,324419,1
97,534,1,23/11/2017 00:00,24/11/2017 00:00,17/02/2018 00:00,719630.48,30,215889.14,1
98,484,1,29/11/2017 00:00,14/11/2017 00:00,07/02/2018 00:00,128497,0,0,1
99,483,1,29/11/2017 00:00,14/11/2017 00:00,07/02/2018 00:00,111956.12,0,0,1
100,329,1,03/01/2018 00:00,22/09/2017 00:00,20/01/2018 00:00,141588.64,0,0,1
101,208,2,15/11/2017 00:00,25/07/2017 00:00,26/11/2017 00:00,1148449.86,0,0,1
102,364,1,23/11/2017 00:00,11/10/2017 00:00,01/02/2018 00:00,79337.54,0,0,1
103,146,1,22/10/2017 00:00,27/06/2017 00:00,22/11/2017 00:00,686316.98,0,0,1
104,316,1,23/11/2017 00:00,13/09/2017 00:00,11/01/2018 00:00,141588.64,0,0,1
105,195,1,13/11/2017 00:00,13/07/2017 00:00,15/11/2017 00:00,184000,0,0,1
106,195,2,23/11/2017 00:00,13/07/2017 00:00,27/11/2017 00:00,60021.98,0,0,1
107,419,1,01/12/2017 00:00,03/11/2017 00:00,11/03/2018 00:00,1221895.71,0,0,1
108,437,1,23/11/2017 00:00,03/11/2017 00:00,07/02/2018 00:00,415884.53,0,0,1
109,407,1,23/11/2017 00:00,24/10/2017 00:00,23/01/2018 00:00,1888229.32,0,0,1
110,401,1,23/11/2017 00:00,31/10/2017 00:00,26/01/2018 00:00,508726.25,0,0,1
111,497,1,23/11/2017 00:00,01/11/2017 00:00,27/01/2018 00:00,560699.53,0,0,1
112,393,1,04/12/2017 00:00,08/11/2017 00:00,01/02/2018 00:00,247389.85,0,0,1
113,382,1,23/11/2017 00:00,19/10/2017 00:00,19/01/2018 00:00,6016316.62,0,0,1
114,170,1,13/11/2017 00:00,07/07/2017 00:00,09/12/2017 00:00,2092429.38,0,0,1
115,193,1,20/09/2017 00:00,13/07/2017 00:00,10/11/2017 00:00,928189.79,0,0,1
116,443,1,23/11/2017 00:00,27/10/2017 00:00,26/01/2018 00:00,947808.73,0,0,1
117,406,1,01/12/2017 00:00,24/10/2017 00:00,31/12/2017 00:00,564127.5,0,0,1
118,211,1,13/11/2017 00:00,31/07/2017 00:00,10/12/2017 00:00,1144309.21,0,0,1
119,385,1,23/11/2017 00:00,19/10/2017 00:00,23/11/2017 00:00,477307.31,0,0,1
120,400,1,23/11/2017 00:00,19/10/2017 00:00,03/02/2018 00:00,529520.86,0,0,1
121,240,1,01/12/2017 00:00,31/07/2017 00:00,11/12/2017 00:00,545180.52,0,0,1
122,205,1,18/10/2017 00:00,17/07/2017 00:00,27/10/2017 00:00,1498994.01,0,0,1
123,436,1,23/11/2017 00:00,07/11/2017 00:00,31/12/2017 00:00,269465.49,0,0,1
124,428,1,01/12/2017 00:00,23/10/2017 00:00,31/12/2017 00:00,391353.49,0,0,1
125,421,1,23/11/2017 00:00,27/10/2017 00:00,22/01/2018 00:00,360229.27,0,0,1
