Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
80524,415,1,100,233230.3,,INICIAL,NULL,S/N,07/11/2017 00:00
80525,416,84,100,96962.89,,INICIAL,NULL,S/N,07/11/2017 00:00
80526,256,35,100,336628.82,07/11/2017 JORGE,AMPLIACION,NULL,S/N ,28/10/2017 00:00
80527,336,65,89.1,5538400,,INICIAL,NULL,s/n,07/11/2017 00:00
80528,336,41,10.9,677917.91,,INICIAL,NULL,,07/11/2017 00:00
80529,75,21,100,402381.15,,AMPLIACION,NULL,S/N 3A AMPL,22/09/2017 00:00
80530,74,21,100,381589.9,,AMPLIACION,NULL,S/N 3A AMPL,22/09/2017 00:00
80531,412,83,100,2638080,,INICIAL,NULL,S/N,06/11/2017 00:00
80532,70,21,100,389825.99,,AMPLIACION,NULL,S/N 3A AMPL,22/09/2017 00:00
80533,80,21,100,404190.14,,AMPLIACION,NULL,S/N 3A AMPL,22/09/2017 00:00
80534,417,55,100,454873.69,,INICIAL,NULL,s/n,08/11/2017 00:00
80535,418,7,100,460436.8,,INICIAL,NULL,s/n,08/11/2017 00:00
80536,419,31,100,1202922.13,,INICIAL,NULL,s/n,08/11/2017 00:00
80537,420,85,100,3961091.49,,INICIAL,NULL,S/N,08/11/2017 00:00
80538,386,70,94.47,290882.35,,INICIAL,NULL,S/N,26/10/2017 00:00
80539,421,10,100,19293077.31,,INICIAL,NULL,s/n,09/11/2017 00:00
80540,71,21,100,433207.34,,AMPLIACION,NULL,S/N AMPL.3,30/09/2017 00:00
80541,84,21,100,346565.68,,AMPLIACION,NULL,3ra AMPLIACIÓN,30/09/2017 00:00
80542,422,18,100,1570836.62,,INICIAL,NULL,s/n,10/11/2017 00:00
80544,424,86,100,367292.35,,INICIAL,NULL,s/n,10/11/2017 00:00
80545,425,86,100,599381.77,,INICIAL,NULL,s/n,10/11/2017 00:00
80546,426,87,100,1911560.38,,INICIAL,NULL,s/n,10/11/2017 00:00
80547,388,88,100,897098.27,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80548,427,83,100,800000,,INICIAL,NULL,S/N,13/11/2017 00:00
80549,161,25,100,221054.54,,AMPLIACION,NULL,S/N AMPL,18/09/2017 00:00
80550,428,32,100,1799962.72,,INICIAL,NULL,s/n,15/11/2017 00:00
80551,429,32,100,1469505.28,,INICIAL,NULL,s/n,15/11/2017 00:00
80552,430,32,100,1469505.28,,INICIAL,NULL,a/n,15/11/2017 00:00
80553,431,32,100,1707362.52,,INICIAL,NULL,s/n,15/11/2017 00:00
80555,432,89,100,305209.92,,INICIAL,NULL,S/N,15/11/2017 00:00
80556,433,1,100,79217.34,,INICIAL,NULL,S/N,15/11/2017 00:00
80557,434,1,100,114019.17,,INICIAL,NULL,S/N,15/11/2017 00:00
80558,435,1,100,1559788.25,,INICIAL,NULL,S/N,15/11/2017 00:00
80559,436,90,33.03,969677.06,,INICIAL,NULL,S/N,15/11/2017 00:00
80560,436,91,33.69,989000,,INICIAL,NULL,S/N,15/11/2017 00:00
80561,436,92,32.17,944230.78,,INICIAL,NULL,S/N,15/11/2017 00:00
80562,436,41,1.11,32463.19,,INICIAL,NULL,S/N,15/11/2017 00:00
80563,437,93,100,960119,,INICIAL,NULL,S/N,15/11/2017 00:00
80565,439,83,100,734310.21,,INICIAL,NULL,s/n,15/11/2017 00:00
80566,77,21,100,432209.39,,AMPLIACION,NULL,S/N,30/09/2017 00:00
80567,440,95,100,3633546.52,,INICIAL,NULL,s/n,16/11/2017 00:00
80568,423,48,100,749714.12,,INICIAL,NULL,w/n,16/11/2017 00:00
80569,76,21,100,385506.78,,AMPLIACION,NULL,AMPLIACION 3 S/N,30/09/2017 00:00
80570,441,96,100,620512.33,,INICIAL,NULL,S/N,16/11/2017 00:00
80571,83,21,100,459253.56,,AMPLIACION,NULL,S/N AMPL 3,30/09/2017 00:00
80572,79,21,100,387420.58,,AMPLIACION,NULL,S/N,30/09/2017 00:00
80574,443,83,100,2997940.59,,INICIAL,NULL,S/N,16/11/2017 00:00
80575,233,44,100,565041.23,,AMPLIACION,NULL,S/N AMPLIACION,17/11/2017 00:00
80576,99,15,100,1286497.33,,AMPLIACION,NULL,S/N AMPLIACION,17/11/2017 00:00
80577,105,21,100,369030.82,,AMPLIACION,NULL,S/N AMPLIACION,17/11/2017 00:00
80578,81,21,100,401126.04,,AMPLIACION,NULL,S/N AMPLIACION,17/11/2017 00:00
80579,82,21,100,432209.39,,AMPLIACION,NULL,S/N AMPLIACION,17/11/2017 00:00
80580,444,32,100,1469505.28,,INICIAL,NULL,s/n,21/11/2017 00:00
80581,445,95,100,2182815.77,,INICIAL,NULL,s/n,21/11/2017 00:00
80582,85,21,100,426562.39,,AMPLIACION,NULL,S/N 3A AMPL,22/09/2017 00:00
80583,446,97,100,2573317.04,JMH,INICIAL,NULL,s/n,22/11/2017 00:00
80584,447,97,100,3531700.09,,INICIAL,NULL,S/N,22/11/2017 00:00
80585,448,98,100,2938272.41,,INICIAL,NULL,S/N,22/11/2017 00:00
80586,449,70,100,290882.35,,INICIAL,NULL,S/N,22/11/2017 00:00
80587,450,70,88,290882.35,,INICIAL,NULL,S/N,22/11/2017 00:00
80588,450,5,12,37839.9,,INICIAL,NULL,S/N,22/11/2017 00:00
80589,451,21,100,481594.74,,INICIAL,NULL,S/N,22/11/2017 00:00
80590,452,25,100,3633140.98,,INICIAL,NULL,S/N,22/11/2017 00:00
80591,453,95,100,2965371.89,,INICIAL,NULL,S/N,22/11/2017 00:00
80592,454,15,100,1499506.19,,INICIAL,NULL,S/N,22/11/2017 00:00
80593,455,95,100,2329308.35,,INICIAL,NULL,S/N,22/11/2017 00:00
80594,456,95,100,2394834.94,,INICIAL,NULL,S/N,22/11/2017 00:00
80595,438,99,100,8127284.41,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80596,457,21,100,1511871.8,,INICIAL,NULL,S/N,23/11/2017 00:00
80597,238,12,100,42969.85,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80598,458,21,100,1544872.14,,INICIAL,NULL,S/N,06/11/2017 00:00
80599,459,100,44.84,887100.3,,INICIAL,NULL,SN,23/11/2017 00:00
80600,459,101,50,989000,,INICIAL,NULL,SN,23/11/2017 00:00
80601,459,41,5.16,101899.63,,INICIAL,NULL,SN,23/11/2017 00:00
80602,460,11,100,620380.3,,INICIAL,NULL,S/N,23/11/2017 00:00
80603,461,95,100,2710054.13,,INICIAL,NULL,S/N,24/11/2017 00:00
80604,462,5,100,1092295.31,,INICIAL,NULL,S/N,24/11/2017 00:00
80605,463,25,100,1373634.18,jmh,INICIAL,NULL,s/n,24/11/2017 00:00
80606,464,25,100,973203.53,,INICIAL,NULL,s/n,24/11/2017 00:00
80610,199,35,100,155163.71,,AMPLIACION,NULL,AMPL. 1 ,13/11/2017 00:00
80611,467,32,100,1249999.62,,INICIAL,NULL,S/,23/10/2017 00:00
80612,468,23,100,1525239.46,,INICIAL,NULL,S/N,30/10/2017 00:00
80613,469,48,100,309664.53,,INICIAL,NULL,S/N,30/10/2017 00:00
80614,470,32,100,1469505.28,,INICIAL,NULL,S/N,23/10/2017 00:00
80616,471,23,100,453296.17,,INICIAL,NULL,S/N,30/10/2017 00:00
80617,472,31,100,1205128.28,,INICIAL,NULL,S/N,25/10/2017 00:00
80618,473,103,60,2877655.93,,INICIAL,NULL,S/N,06/11/2017 00:00
80619,473,104,40,1918437.28,,INICIAL,NULL,S/N,06/11/2017 00:00
80620,474,98,100,2695101.13,,INICIAL,NULL,S/N,26/11/2017 00:00
80621,475,1,100,4340739.99,,INICIAL,NULL,S/N,26/11/2017 00:00
80622,159,11,100,142499.89,,AMPLIACION,NULL,AMPL.1,01/09/2017 00:00
80624,466,67,100,1424099.44,,INICIAL,NULL,S/N,06/11/2017 00:00
80625,172,13,100,1376058.74,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
