Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion
60020,58,1,1806255-0000,24/01/2017 00:00,07/02/2017 00:00,LIBERTY FIANZAS,23/01/2018 00:00,
60021,59,1,1806255-0000,24/01/2017 00:00,07/02/2017 00:00,LIBERTY FIANZAS,23/01/2018 00:00,
60022,59,2,1805629-0000,24/01/2017 00:00,07/02/2017 00:00,LIBERTY FIANZAS,23/01/2018 00:00,
60023,60,1,III-499968-RC,07/04/2017 00:00,17/04/2017 00:00,FIANZAS ATLAS S.A.,06/04/2018 00:00,
60024,60,2,III-499971-RC,07/04/2017 00:00,17/04/2017 00:00,FIANZAS ATLAS S.A.,06/04/2018 00:00,
70017,65,2,1800088,02/05/2017 00:00,11/05/2017 00:00,ACE FIANZAS MONTERREY,01/05/2018 00:00,
70018,66,1,1800903,02/05/2017 00:00,12/05/2017 00:00,ACE FIANZAS MONTERREY,02/05/2018 00:00,
70019,66,2,1800906,02/05/2017 00:00,12/05/2017 00:00,ACE FIANZAS MONTERREY,02/05/2018 00:00,
70020,67,1,III-499968-RC,07/04/2017 00:00,17/04/2017 00:00,FIANZAS ATLAS,07/04/2018 00:00,
70021,67,2,III-499971-RC,07/04/2017 00:00,17/04/2017 00:00,FIANZAS ATLAS,07/04/2018 00:00,
70023,68,2,1846034-0000,27/04/2017 00:00,09/05/2017 00:00,LIBERTY FIANZAS,27/04/2018 00:00,
70024,68,1,1846036-0000,27/04/2017 00:00,09/05/2017 00:00,LIBERTY AFIANZADORA,27/04/2018 00:00,
70025,69,1,1846036-0000,27/04/2017 00:00,09/05/2017 00:00,LIBERTY AFIANZADORA,27/04/2018 00:00,
70026,69,2,1846034-0000,27/04/2017 00:00,09/05/2017 00:00,LIBERTY FIANZAS,27/04/2018 00:00,
70037,77,2,1803135,08/05/2017 00:00,18/05/2017 00:00,ACE FIANZAS MONTERREY,07/05/2017 00:00,
70038,77,1,1803119,08/05/2017 00:00,18/05/2017 00:00,ACE FIANZAS MONTERREY,07/05/2017 00:00,
70041,81,2,4179-00381-9,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70042,82,2,2092412,03/04/2017 00:00,13/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,02/04/2018 00:00,
70043,83,1,3449-00745-6,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70044,83,2,3449-00746-1,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70045,84,1,3449-00745-6,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70046,84,2,3449-00746-1,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70047,85,1,3449-00745-6,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70048,85,2,3449-00746-1,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70049,86,1,3449-00745-6,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70050,86,2,3449-00746-1,12/05/2017 00:00,23/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",11/05/2018 00:00,
70051,87,2,2092426,03/04/2017 00:00,13/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,02/04/2018 00:00,
70052,88,2,3344-00231-0,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70053,90,1,3344-00238-3,08/05/2017 00:00,18/05/2017 00:00,ASERTA,07/06/2018 00:00,
70054,90,2,3344-00237-2,08/05/2017 00:00,18/05/2017 00:00,ASERTA,07/05/2018 00:00,
70055,92,2,4197-00383-5,08/05/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",07/05/2018 00:00,
70056,93,1,1801396,05/05/2017 00:00,15/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A. ",04/05/2018 00:00,
70057,93,2,1801392,05/05/2017 00:00,15/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A. ",04/05/2018 00:00,
70058,94,2,3344-00222-0,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70059,95,1,1801396,05/05/2017 00:00,15/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A. ",04/05/2018 00:00,
70060,95,2,1801392,05/05/2017 00:00,15/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A. ",04/05/2018 00:00,
70061,96,2,17A14986,12/05/2017 00:00,18/05/2017 00:00,"FIANZAS DORAMA, S.A. ",11/05/2018 00:00,
70062,96,1,17A14984,12/05/2017 00:00,18/05/2017 00:00,"FIANZAS DORAMA, S.A.",11/05/2018 00:00,
70063,97,1,2093525,08/05/2017 00:00,18/05/2017 00:00,"AFIANZADORA SOFIMEX, S.A. ",07/05/2018 00:00,
70064,97,2,2093528,08/05/2017 00:00,18/05/2017 00:00,"AFIANZADORA SOFIMEX, S.A. ",07/05/2018 00:00,
70065,98,2,4197-00379-0,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70066,99,2,4197-00382-0,08/05/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",07/05/2018 00:00,
70067,100,2,3344-00223-5,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70068,101,2,2094230,03/04/2017 00:00,13/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,02/04/2018 00:00,
70069,102,2,2094234,03/04/2017 00:00,13/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,02/04/2018 00:00,
70070,103,2,17A14471,03/04/2017 00:00,13/04/2017 00:00,"FIANZAS DORAMA, S.A. ",02/04/2018 00:00,
70071,104,2,3344-00225-7,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V. ",02/04/2018 00:00,
70072,106,2,17A14470,03/04/2017 00:00,13/04/2017 00:00,"FIANZAS DORAMA, S.A. DE C.V.",02/04/2018 00:00,
70073,107,2,4143-02219-6,08/05/2017 00:00,16/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",07/05/2018 00:00,
70074,107,1,4143-02218-5,08/05/2017 00:00,16/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",07/05/2018 00:00,
70075,108,2,1804420,03/04/2017 00:00,13/04/2017 00:00,ACE FIANZAS MONTERREY,02/04/2018 00:00,
70077,105,2,4197-00376-3,22/02/2017 00:00,20/02/2017 00:00,ASERTA AFIANZADORA,21/02/2018 00:00,
70078,109,2,4197-00376-3,22/02/2017 00:00,20/02/2017 00:00,ASERTA AFIANZADORA,21/02/2018 00:00,
70079,110,2,2095965,03/04/2017 00:00,13/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,02/04/2018 00:00,
70080,111,2,1808177,03/04/2017 00:00,11/04/2017 00:00,ACE FIANZAS MONTERREY,02/04/2018 00:00,
70081,112,2,3344-00226-4,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70082,113,2,3344-00227-5,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70083,114,2,1805316,03/04/2017 00:00,13/04/2017 00:00,ACE FIANZAS MONTERREY,02/04/2018 00:00,
70084,116,1,1851344-0000,08/05/2017 00:00,18/05/2017 00:00,"LIBERTY FIANZAS, S.A. DE C.V.",07/05/2018 00:00,
70085,116,2,1851345-0000,08/05/2017 00:00,18/05/2017 00:00,"LIBERTY FIANZAS, S.A. DE C.V.",07/05/2018 00:00,
70086,117,1,3443-00742-5,08/05/2017 00:00,24/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",08/05/2018 00:00,
70087,118,2,3344-00224-4,03/04/2017 00:00,13/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",02/04/2018 00:00,
70088,119,1,1802715,08/05/2017 00:00,24/05/2017 00:00,ACE FIANZAS MONTERREY,07/05/2018 00:00,
70089,119,2,1802177,05/05/2017 00:00,24/05/2017 00:00,ACE FIANZAS MONTERREY,07/05/2018 00:00,
70090,120,1,3304-00323-2,17/05/2017 00:00,25/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",16/05/2018 00:00,
70091,120,2,3304-00324-9,17/05/2017 00:00,25/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",16/05/2017 00:00,
70092,121,1,III-501210-RC,12/05/2017 00:00,25/05/2017 00:00,"FIANZAS ATLAS, S.A.",11/05/2017 00:00,
70093,121,2,III-501211-RC,12/05/2017 00:00,25/05/2017 00:00,"FIANZAS ATLA, S.A.",11/05/2017 00:00,
70094,122,1,1803138,08/05/2017 00:00,18/05/2017 00:00,ACE FIANZAS MONTERREY,07/05/2018 00:00,
70095,122,2,1803127,08/05/2017 00:00,18/05/2017 00:00,ACE FIANZAS MONTERREY,07/05/2018 00:00,
70096,123,1,1805466,12/05/2017 00:00,05/06/2017 00:00,ACE FIANZAS MONTERREY,11/05/2018 00:00,
70097,123,2,1805462,12/05/2017 00:00,05/06/2017 00:00,ACE FIANZAS MONTERREY,11/05/2018 00:00,
70098,124,1,1805466,12/05/2017 00:00,05/06/2017 00:00,ACE FIANZAS MONTERREY,11/05/2018 00:00,
70099,124,2,1805462,12/05/2017 00:00,05/06/2017 00:00,ACE FIANZAS MONTERREY,11/05/2018 00:00,
70102,125,1,1803256,12/05/2017 00:00,24/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",11/05/2018 00:00,
70103,125,2,1803253,12/05/2017 00:00,24/05/2017 00:00,ACE FIANZAS MONTERREY S.A.,11/05/2018 00:00,
70104,126,1,1803256,12/05/2017 00:00,24/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",11/05/2018 00:00,
70105,126,2,1803253,12/05/2017 00:00,24/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",11/05/2018 00:00,
70106,127,1,III-501234-RC,12/05/2017 00:00,25/05/2017 00:00,FIANZAS ATLAS S.A.,11/05/2018 00:00,
70107,127,2,III-501235-RC,12/05/2017 00:00,25/05/2017 00:00,FIANZAS ATLAS S.A.,11/05/2018 00:00,
70108,128,1,III-501234-RC,12/05/2017 00:00,25/05/2017 00:00,FIANZAS ATLAS S.A.,11/05/2018 00:00,
70109,128,2,III-501235-RC,12/05/2017 00:00,12/06/2017 00:00,FIANZAS ATLAS S.A.,11/05/2018 00:00,
70110,130,2,1808637,01/03/2017 00:00,10/03/2017 00:00,ACE FIANZAS MONTERREY,28/02/2017 00:00,
70114,132,1,1851412-0000,24/05/2017 00:00,15/06/2017 00:00,"LIBERTY FIANZAS, S.A. DE C.V.",23/05/2018 00:00,
70115,132,2,1851413-0000,24/05/2017 00:00,01/06/2017 00:00,"LIBERTY FIANZAS, S.A. DE C.V.",23/05/2018 00:00,
70116,133,1,1804960,18/05/2017 00:00,02/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",17/05/2018 00:00,
70117,133,2,1804962,18/05/2017 00:00,02/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",17/05/2018 00:00,
70120,134,1,3428-01497-0,01/06/2017 00:00,12/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINIANCERO ASERTA",31/05/2018 00:00,
70121,134,2,3428-01498-3,01/06/2017 00:00,12/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINIANCERO ASERTA",31/05/2018 00:00,
70122,135,2,1808940,01/06/2017 00:00,09/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",31/05/2018 00:00,
70124,137,1,4197-00395-0,25/05/2017 00:00,30/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINANCIERO ASERTA",24/05/2018 00:00,
70125,137,2,4197-00393-6,25/05/2017 00:00,30/05/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINANCIERO ASERTA ",24/05/2018 00:00,
70126,138,2,17A17735,29/05/2017 00:00,31/05/2017 00:00,"FIANZAS DORAMA, S.A.",28/05/2018 00:00,
70127,139,2,17A17735,29/05/2017 00:00,31/05/2017 00:00,"FIANZAS DORAMA, S.A.",28/05/2018 00:00,
70128,140,2,17A17735,29/05/2017 00:00,31/05/2017 00:00,"FIANZAS DORAMA, S.A.",28/05/2018 00:00,
70131,142,2,3449-00750-0,24/05/2017 00:00,02/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V. GRUPO FINANCIERO ASERTA",23/05/2018 00:00,
70133,115,2,1809396-0000,02/05/2017 00:00,11/05/2017 00:00,LIBERTY FIANZAS,02/05/2018 00:00,
70134,115,1,1809395-0000,02/05/2017 00:00,11/05/2017 00:00,LIBERTY FIANZAS,02/05/2018 00:00,
70135,144,1,1804633,18/05/2017 00:00,01/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A ",17/05/2018 00:00,
70136,144,2,1804632,18/05/2017 00:00,01/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A",17/05/2018 00:00,
70137,136,1,4197-00391-8,24/05/2017 00:00,01/06/2017 00:00,"AFIANZA ASERTA, S.A. DE C.V. GRUPO FINANCIERO ASERTA",23/05/2018 00:00,
70138,136,2,4197-00392-5,25/05/2017 00:00,01/06/2017 00:00,"AFIANZA ASERTA, S.A. DE C.V. GRUPO FINANCIERO ASERTA",24/05/2018 00:00,
70139,145,2,1811544,01/06/2017 00:00,21/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",31/05/2018 00:00,
70140,146,1,3428-01499-0,02/06/2017 00:00,08/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINANCIERO ASERTA",01/06/2018 00:00,
70141,146,2,3428-01500-1,02/06/2017 00:00,08/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINANCIERO ASERTA",01/06/2018 00:00,
70142,147,1,1807966,24/05/2017 00:00,31/05/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",23/05/2018 00:00,
70143,147,2,1807969,24/05/2017 00:00,31/05/2017 00:00,"ACE FIANZAS MONTERREY,S.A.",23/05/2018 00:00,
70144,148,1,4197-00409-6,09/06/2017 00:00,16/06/2017 00:00,"AFIANZADORA ASERTA, S.A DE C.V. GRUPO FINANCIERO ASERTA",08/06/2018 00:00,
70145,148,2,4197-00410-0,09/06/2017 00:00,16/06/2017 00:00,"AFIANZADORA ASERTA, S.A DE C.V. GRUPO FINANCIERO ASERTA",08/06/2018 00:00,
70146,149,1,1780861,23/01/2017 00:00,15/02/2017 00:00,"ACE FIANZAS MONTERREY, S.A. ",22/01/2018 00:00,
70147,149,2,1780855,23/01/2017 00:00,15/02/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",22/01/2018 00:00,
70154,150,1,1780861,23/01/2017 00:00,15/02/2017 00:00,ACE FIANZAS MONTERREY,22/01/2018 00:00,
70155,151,1,1780861,23/01/2017 00:00,15/02/2017 00:00,ACE FIANZAS MONTERREY,22/01/2018 00:00,
70156,151,2,1780855,23/01/2017 00:00,15/02/2017 00:00,ACE FIANZAS MONTERREY,22/01/2018 00:00,
70157,150,2,1780855,23/01/2017 00:00,15/02/2017 00:00,ACE FIANZAS MONTERREY,22/01/2018 00:00,
70158,152,2,1780861,23/01/2017 00:00,15/02/2017 00:00,ACE FIANZAS MONTERREY,22/01/2018 00:00,
70159,152,2,1780855,23/01/2017 00:00,15/02/2017 00:00,ACE FIANZAS MONTERREY,22/01/2018 00:00,
70160,153,1,2104492,16/06/2017 00:00,23/06/2017 00:00,"AFIANZADORA SOFIMEX, S.A.",15/06/2018 00:00,
70161,153,2,2104493,16/06/2017 00:00,23/06/2017 00:00,"AFIANZADORA SOFIMEX, S.A",15/06/2018 00:00,
70162,156,1,III-501754-RC,29/05/2017 00:00,05/06/2017 00:00,"FIANZAS ATLAS, S.A.",28/05/2018 00:00,
70163,156,2,III-501757-RC,29/05/2017 00:00,05/06/2017 00:00,"FIANZAS ATLAS, S.A.",28/05/2018 00:00,
70164,157,1,1812406,13/06/2017 00:00,26/06/2017 00:00,ACE FIANZAS MONTERREY,12/06/2018 00:00,
70165,157,2,1812412,13/06/2017 00:00,26/06/2017 00:00,ACE FIANZAS MONTERREY,12/06/2018 00:00,
70166,158,1,1806592,25/05/2017 00:00,02/06/2017 00:00,ACE FIANZAS MONTERREY,24/05/2018 00:00,
70167,158,2,1806588,25/05/2017 00:00,02/06/2017 00:00,ACE FIANZAS MONTERREY,24/05/2018 00:00,
70168,159,1,1255-00917-0,12/05/2017 00:00,19/05/2017 00:00,ASERTA AFIANZADORA,11/05/2018 00:00,
70169,159,2,1255-00916-1,12/05/2017 00:00,19/05/2017 00:00,ASERTA AFIANZADORA,11/05/2018 00:00,
70170,160,1,1255-00917-0,12/05/2017 00:00,19/05/2017 00:00,ASERTA AFIANZADORA,11/05/2018 00:00,
70171,160,1,1255-00916-1,12/05/2017 00:00,19/05/2017 00:00,ASERTA AFIANZADORA,11/05/2018 00:00,
70172,161,2,2087187,31/03/2017 00:00,19/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,30/03/2018 00:00,
70173,162,1,2087187,31/03/2017 00:00,19/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,30/03/2018 00:00,
70174,164,1,1810730,13/06/2017 00:00,23/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",12/06/2018 00:00,
70175,164,2,1810735,13/06/2017 00:00,23/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",12/06/2018 00:00,
70176,165,1,1809191,01/06/2017 00:00,15/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",31/05/2018 00:00,
70177,165,2,1809195,01/06/2016 00:00,15/06/2017 00:00,"ACE FIANZAS MONTERREY, S.A.",31/05/2018 00:00,
70178,166,2,7019,13/06/2017 00:00,23/06/2017 00:00,ZURICH FIANZAS MEXICO S.A DE C.V.,12/06/2018 00:00,
70179,166,1,7018,13/06/2017 00:00,23/06/2017 00:00,ZURICH FIANZAS MEXICO S.A DE C.V.,12/06/2018 00:00,
70180,167,1,3344-00243-9,26/05/2017 00:00,05/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",25/05/2018 00:00,
70181,167,2,3344-00242-2,26/05/2017 00:00,05/06/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",25/05/2018 00:00,
