Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
647,628,,CONTRATO,935772.08,227524.15,0,227524.15,708247.93,30,280731.62,68257.25,0,68257.25,212474.37
648,629,,CONTRATO,935772.08,45628.28,227524.15,273152.43,662619.65,30,280731.62,13688.48,68257.25,81945.73,198785.89
650,631,,CONTRATO,387304.28,85045.86,302258.42,387304.28,0,0,0,0,0,0,0
651,632,,CONTRATO,257756.95,72548.14,184723.91,257272.05,484.9,0,0,0,0,0,0
653,634,,CONTRATO,29012196.75,1730845.44,2169173.58,3900019.02,25112177.73,30,8703659.03,519253.63,650752.07,1170005.7,7533653.33
654,635,,CONTRATO,1427977.5,74719.46,347092.7,421812.16,1006165.34,30,428393.25,22415.84,104127.81,126543.65,301849.6
655,636,,CONTRATO,1703957.11,390851.63,0,390851.63,1313105.48,30,511187.13,117255.49,0,117255.49,393931.64
656,637,,CONTRATO,138879.21,19644.63,112142.55,131787.18,7092.03,0,0,0,0,0,0
657,638,,CONTRATO,130199.05,15809.27,100831.95,116641.22,13557.83,0,0,0,0,0,0
658,639,,CONTRATO,939435.66,59607.84,0,59607.84,879827.82,30,281830.69,17882.35,0,17882.35,263948.34
660,641,,CONTRATO,6381931.8,71240.77,280773.68,352014.45,6029917.35,30,1914579.54,21372.23,84232.1,105604.33,1808975.21
662,643,,CONTRATO,1482919.56,203960.1,1274240.28,1478200.38,4719.18,30,444875.86,62603.78,382272.08,444875.86,0
663,644,,CONTRATO,370980.98,0,370980.98,370980.98,0,0,0,0,0,0,0
664,644,9,AMPLIACIÓN 1,154746.46,11141.6,143604.86,154746.46,0,0,0,0,0,0,0
665,644,16,AMPLIACIÓN 2,269879.53,138791.47,0,138791.47,131088.06,0,0,0,0,0,0
666,645,,CONTRATO,364804.54,0,364804.54,364804.54,0,0,0,0,0,0,0
667,645,4,AMPLIACIÓN 1,270006.33,6941.95,263064.38,270006.33,0,30,81001.9,0,81001.9,81001.9,0
668,645,17,AMPLIACIÓN 2,268214.25,59603.16,0,59603.16,208611.09,30,80464.27,19963.53,0,19963.53,60500.74
669,646,,CONTRATO,4682947.21,224031.19,264351.04,488382.23,4194564.98,30,1404884.16,67209.36,79305.31,146514.67,1258369.49
670,647,,CONTRATO,1061967.43,51013.54,0,51013.54,1010953.89,30,318590.23,15304.06,0,15304.06,303286.17
671,648,,CONTRATO,1175488.82,61023.86,563860.49,624884.35,550604.47,0,0,0,0,0,0
672,649,,CONTRATO,1175488.82,61023.86,563860.49,624884.35,550604.47,0,0,0,0,0,0
673,650,,CONTRATO,382570.35,0,382570.35,382570.35,0,0,0,0,0,0,0
674,650,6,AMPLIACIÓN 1,151649.58,11141.61,140507.97,151649.58,0,0,0,0,0,0,0
675,650,18,AMPLIACIÓN 2,278571.56,143620.37,0,143620.37,134951.19,0,0,0,0,0,0
676,651,,CONTRATO,530990.41,0.01,530990.4,530990.41,0,0,0,0,0,0,0
