Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
121,2856,,CONTRATO,22944545.23,-13043.63,20841707.4,20828663.77,2115881.46,30,6883363.57,0,6883363.57,6883363.57,0
122,2857,,CONTRATO,22944545.23,-2634.99,20828663.77,20826028.78,2118516.45,30,6883363.57,-790.5,6883363.57,6882573.07,790.5
123,2887,,CONTRATO,22944545.23,877975.86,20826028.78,21704004.64,1240540.59,30,6883363.57,790.5,6882573.07,6883363.57,0
124,2890,,CONTRATO,22944545.23,125343,21704004.64,21829347.64,1115197.59,30,6883363.57,0,6883363.57,6883363.57,0
125,2904,,CONTRATO,22944545.23,51812.26,21829347.64,21881159.9,1063385.33,30,6883363.57,0,6883363.57,6883363.57,0
126,2905,,CONTRATO,22944545.23,273294.05,21881159.9,22154453.95,790091.28,30,6883363.57,0,6883363.57,6883363.57,0
127,2906,,CONTRATO,22944545.23,143871.25,22154453.95,22298325.2,646220.03,30,6883363.57,0,6883363.57,6883363.57,0
128,2907,,CONTRATO,22944545.23,183653.13,22298325.2,22481978.33,462566.9,30,6883363.57,0,6883363.57,6883363.57,0
129,2913,,CONTRATO,22944545.23,444143.98,22481978.33,22926122.31,18422.92,30,6883363.57,0,6883363.57,6883363.57,0
130,2922,,CONTRATO,22944545.23,18422.82,22926122.31,22944545.13,0.1,30,6883363.57,0,6883363.57,6883363.57,0
131,7,,CONTRATO,30385297.76,342135.01,0,342135.01,30043162.75,30,9115589.33,102640.5,0,102640.5,9012948.83
132,8,,CONTRATO,30385297.76,4990079.42,342135.01,5332214.43,25053083.33,30,9115589.33,1497023.83,102640.5,1599664.33,7515925
133,21,,CONTRATO,30385297.76,103408.72,5332214.43,5435623.15,24949674.61,30,9115589.33,31022.62,1599664.33,1630686.95,7484902.38
134,48,,CONTRATO,30385297.76,146784.03,5435623.15,5582407.18,24802890.58,30,9115589.33,44035.21,1630686.95,1674722.16,7440867.17
