Id_Descuento_Adicional,Id_Estimacion,Nombre,Importe
96,618,C.N.E.C.,349.67
97,625,C.N.E.C.,268.67
98,635,C.N.E.C.,97.96
99,635,DEVOL. DEDUCCIO,-682.92
100,644,C.N.E.C.,947.01
101,667,C.N.E.C.,463.01
102,667,CEDULAR,648.2
103,667,I.S.R,6482.08
104,668,C.N.E.C.,447.94
105,669,C.N.E.C.,225.86
106,673,C.N.E.C.,203.55
107,676,R.A.P.C.E.,604.03
108,678,R.A.P.C.E.,1158.88
109,679,C.N.E.C.,526.86
110,679,CEDULAR,737.59
111,679,I.S.R.,7375.99
112,682,R.A.P.C.E.,222.88
113,690,C.N.E.C,331.63
114,694,C.N.E.C.,1174.83
115,709,R.A.P.C.E.,478.52
116,722,R.A.P.C.E.,34.32
117,742,C.N.E.C.,272.38
118,743,C.N.E.C.,314.81
119,746,C.N.E.C.,94.02
120,768,C.N.E.C.,267.61
121,768,CEDULAR,374.65
122,768,I S R,3746.48
123,769,C.N.E.C.,34.96
124,770,C.N.E.C.,119.86
125,773,C.N.E.C.,124.64
126,774,C.N.E.C.,132.49
127,784,C.N.E.C.,124.75
128,791,C.N.E.C.,679.2
129,823,R.A.P.C.E.,1504.73
130,824,C.N.E.C.,43.27
131,825,R.A.P.C.E.,1281.31
132,847,C.N.E.C.,914.46
133,849,R.A.P.C.E.,283.84
134,851,R.A.P.C.E.,1038.83
135,855,C.N.E.C.,195.03
136,872,C.N.E.C.,180.1
137,877,C.N.E.C,274.88
138,893,C.N.E.C.,19.53
139,894,C.N.E.C.,16.48
140,895,C.N.E.C.,156.27
141,896,C.N.E.C.,39.07
142,897,R.A.P.C.E.,291.33
143,898,C.N.E.C.,133.99
144,908,C.N.E.C.,93.99
145,919,R.A.P.C.E.,1860.33
146,935,C.N.E.C.,41.91
147,936,C.N.E.C.,69.41
148,937,R.A.P.C.E.,1097.65
149,939,C.N.E.C.,34.3
150,942,C.N.E.C,326.82
151,949,R.A.P.C.E.,1177.87
152,950,R.A.P.C.E.,345.57
153,957,C.N.E.C.,226.45
154,967,C.N.E.C,445.93
155,973,C.N.E.C.,317.52
156,977,C.N.E.C.,361.57
157,984,C.N.E.C.,96.86
158,988,C.N.E.C.,754.48
159,1001,C.N.E.C.,182.43
160,1039,C.N.E.C.,194.18
161,1040,C.N.E.C.,296.9
162,1047,C.N.E.C.,410.1
163,1049,C.N.E.C.,158.13
164,1054,C.N.E.C.,88.76
165,1056,C.N.E.C.,129.48
166,1057,C.N.E.C.,90.14
167,1063,C.N.E.C.,256.39
168,1064,C.N.E.C.,35.62
169,1065,SANCION DEFINIT,87369.06
170,1070,C.N.E.C.,543.04
171,1073,R.A.P.C.E.,439.17
172,1086,C.N.E.C.,20.49
173,1088,C.N.E.C.,67.72
174,1110,C.N.E.C.,20.23
175,1120,C.N.E.C.,508.31
176,1133,C.N.E.C.,356.85
177,1135,R.A.P.C.E.,2146.91
178,1142,C.N.E.C.,327.36
179,1143,C.N.E.C.,193.68
180,1146,C.N.E.C.,48.92
181,1151,C.N.E.C.,80.98
182,1189,C.N.E.C.,30.98
183,1190,C.N.E.C.,292.66
184,1200,C.N.E.C.,106.97
185,1202,R.A.P.C.E.,280.68
186,1203,R.A.P.C.E.,358.55
187,1205,C.N.E.C.,157.52
188,1208,C.N.E.C.,801.41
189,1216,C.N.E.C.,268.54
190,1220,C.N.E.C.,402.35
191,1224,C.N.E.C.,84.86
192,1225,C.N.E.C.,84.73
193,1226,C.N.E.C.,193.7
194,1235,RAPCE,512.72
195,1235,RAPCE EST-1,407.36
196,1236,C.N.E.C.,168.69
197,1249,C.N.E.C.,89.75
198,1252,C.N.E.C.,141.06
199,1253,C.N.E.C.,523.12
200,1264,R.A.P.C.E.,1317.55
201,1266,C.N.E.C.,467.4
202,1276,C.N.E.C.,527.89
203,1277,C.N.E.C.,242.95
204,1281,R.A.P.C.E.,209.03
205,1288,C.N.E.C.,111.01
206,1297,C.N.E.C.,182.15
207,1299,R.A.P.C.E.,430.54
208,1306,C.N.E.C.,468.37
209,1307,C.N.E.C.,164.39
210,1308,C.N.E.C.,30.82
211,1309,C.N.E.C.,90.78
212,1310,C.N.E.C.,505.39
213,1311,C.N.E.C.,317.97
214,1312,C.N.E.C.,126.66
215,1313,C.N.E.C.,176.68
216,1314,C.N.E.C.,347.72
217,1331,C.N.E.C.,146.05
218,1341,R.A.P.C.E.,434.62
219,1352,C.N.E.C.,921.4
220,1352,C.N.E.C. EST1-4,2858.15
221,1353,C.N.E.C.,971.53
222,1361,C.N.E.C,329.59
223,1362,C.N.E.C.,2002.02
224,1362,C.N.E.C EST1-4,4272.93
225,1363,C.N.E.C.,1441.38
226,1369,R.A.P.C.E.,1605.57
227,1371,C.N.E.C.,123.23
228,1372,C.N.E.C.,299.29
229,1374,C.N.E.C.,222.9
230,1377,C.N.E.C.,536
231,1378,C.N.E.C.,238.05
232,1381,C.N.E.C.,188.23
233,1384,C.N.E.C.,77.27
234,1385,C.N.E.C.,109.23
235,1386,C.N.E.C.,233.76
236,1390,C.N.E.C.,388.71
237,1394,C.N.E.C.,463.56
238,1410,C.N.E.C.,235.86
239,1412,C.N.E.C.,249.73
240,1414,C.N.E.C.,96.27
241,1419,R.A.P.C.E.,860.17
242,1423,C.N.E.C.,280.95
243,1427,C.N.E.C,359.21
244,1429,C.N.E.C.,314.82
245,1435,C.N.E.C.,213.32
246,1446,R.A.P.C.E.,610.79
247,1446,RAPCE EST. 1 Y,1232.11
248,1452,,214.83
249,1453,,131.25
250,1456,R.A.P.C.E.,1808.47
251,1459,C.N.E.C.,439.48
252,1478,RAPCE,989.31
253,1480,C.N.E.C.,573.03
254,1481,C.N.E.C.,309.6
255,1497,C.N.E.C.,67.99
256,1504,C.N.E.C.,417.69
257,1505,C.N.E.C.,171.49
258,1508,C.N.E.C.,236.12
259,1510,C.N.E.C.,463.77
260,1512,C.N.E.C.,695.66
261,1521,C.N.E.C.,249.95
262,1535,C.N.E.C.,45.75
263,1536,C.N.E.C.,275.44
264,1538,C.N.E.C.,352.39
265,1539,C.N.E.C.,95.76
266,1540,C.N.E.C.,480.22
267,1542,C.N.E.C.,169.78
268,1543,C.N.E.C.,92.32
269,1559,C.N.E.C.,42.76
270,1565,R.A.P.C.E.,1768.86
271,1569,C.N.E.C.,108.43
272,1572,C.N.E.C.,208.9
273,1575,C.N.E.C.,163.51
274,1582,C.N.E.C.,118.04
275,1582,SANCION DEFINIT,8770.08
276,1595,C.N.E.C.,26.74
277,1596,C.N.E.C.,33.71
278,1597,C.N.E.C.,22.1
279,1600,SANCION ADMVA.,13798.51
280,1603,C.N.E.C.,413.84
281,1617,C.N.E.C.,39.1
282,1630,C.N.E.C.,228.24
283,1631,C.N.E.C.,232.25
284,1632,C.N.E.C.,135.21
285,1640,RAPCE,1002.78
286,1642,R.A.P.C.E.,567.12
287,1646,C.N.E.C.,295.02
288,1651,C.N.E.C.,76.51
289,1665,R.A.P.C.E.,921.39
290,1667,R.A.P.C.E.,386.73
291,1672,C.N.E.C.,23.93
292,1674,C.N.E.C.,63.16
293,1675,C.N.E.C.,231.25
294,1680,C.N.E.C.,103.9
295,1695,SANCION DEFINIT,9980.62
296,1698,C.N.E.C.,97.63
297,1699,C.N.E.C.,719.11
298,1703,RAPCE,556.63
299,1704,C.N.E.C.,369.39
300,1756,R.A.P.C.E.,1633.23
301,1762,R.A.P.C.E.,2043.04
302,1769,R.A.P.C.E.,56.16
303,1772,R.A.P.C.E.,120.66
304,1808,C.N.E.C.,317.62
305,1809,C.N.E.C.,847.48
306,1815,C.N.E.C.,82.83
307,1818,C.N.E.C,294.27
308,1819,C.N.E.C.,282.53
309,1826,R.A.P.C.E.,838.94
310,1831,C.N.E.C.,104.73
311,1835,R.A.P.C.E.,804.54
312,1836,C.N.E.C.,75.58
313,1839,C.N.E.C.,257.27
314,1843,C.N.E.C.,78.57
315,1845,C.N.E.C.,498.11
