Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
6192,674,3,737.35
7125,1231,3,1340.07
7154,1248,1,31.58
7604,1601,1,609.72
7840,1759,1,378.18
8094,1943,2,1645.89
8487,2205,1,45.28
9340,2786,3,525.66
5901,506,3,868.2
6691,959,3,724.92
5416,237,3,974.75
5988,554,1,188.03
6029,578,3,311.62
6351,760,1,322.79
8963,2512,1,1466.98
7693,1659,2,3534.37
8330,2108,1,742.64
9341,2787,1,278.95
5667,376,3,2498.59
6455,818,1,234.7
6688,958,1,273.04
7221,1290,3,72
7642,1622,1,755.07
7683,1653,3,1383.04
8532,2232,3,558.13
8598,2273,3,512.42
8128,1971,1,104.77
8561,2251,1,346.34
6204,681,1,365.64
6840,1050,1,548.28
7751,1697,2,856.5
6151,650,3,2369.56
6270,716,3,1370.84
5721,409,3,892.28
6466,825,3,2562.61
7195,1273,2,1675.07
8948,2503,1,56.64
7185,1268,1,750.8
7291,1342,1,219.37
7614,1607,2,331.69
7766,1711,3,2111.05
7864,1773,3,5457.52
9197,2679,1,114.67
5483,275,3,1182.01
7120,1229,1,250.68
5299,167,1,291.2
5629,355,3,655.32
6032,580,1,575.22
6187,671,1,91.8
6457,819,1,2301.09
7443,1464,2,29.64
8774,2387,3,11.02
8777,2389,2,6907.59
8901,2469,1,72.37
9393,2820,2,1386.88
5283,159,1,60.82
7293,1343,2,97.36
7457,1472,3,1563.3
6169,659,3,616.39
7385,1417,1,302.17
7438,1458,3,386.14
9402,2836,1,479.3
9578,2960,2,527.26
5187,110,3,628.41
5865,488,3,12541.8
6736,989,1,153.32
8106,1956,3,226
5077,52,3,35625.65
5440,251,2,3627.73
7484,1491,3,386.75
7817,1743,3,2016.78
5102,65,3,3047
5230,131,3,260.78
7038,1174,3,2778.19
7425,1448,3,4333.22
7961,1856,1,22.96
9328,2778,3,583.64
5342,192,1,255.59
5661,373,3,1002.89
5792,448,3,1348.56
5965,542,3,262.55
6102,622,1,68.32
8449,2182,2,526.55
9299,2761,1,135.4
9460,2879,1,7547.18
6536,862,1,628.8
6669,947,1,516.53
7756,1702,2,722.6
5641,362,3,2739.42
7371,1404,1,843.47
7518,1525,3,212.02
7885,1793,2,1766.36
8284,2079,3,110.62
8833,2430,1,106.01
9274,2742,2,66.21
7376,1406,3,1527.22
8514,2221,3,5221.09
8811,2414,2,252.04
9162,2652,2,831.59
6660,941,1,334.79
6864,1067,3,863.71
7909,1811,2,862.09
6157,653,3,792.51
6224,691,3,317.76
6249,705,3,924.18
7150,1246,1,31.28
7366,1400,2,405.95
7461,1474,3,389.56
8465,2191,1,65.58
8711,2346,1,95.2
8834,2430,3,530.07
9171,2661,1,569.05
9220,2698,2,357.96
5165,97,3,1000
6286,724,3,809.25
6554,870,2,1342.58
6764,1004,3,2465.78
6999,1150,3,696.49
7040,1175,3,313.08
8162,1998,2,478.33
8485,2204,1,531.06
8660,2313,1,832
8731,2359,2,2654.54
9104,2609,3,555.68
6017,572,3,2815.72
8113,1961,2,6697.13
9085,2599,2,3951.2
9361,2798,3,1586.99
9371,2804,3,2526.05
5045,34,3,3934.55
5986,553,1,1893.71
5098,63,3,1759.36
5166,98,1,471.32
5785,445,1,517.24
7841,1759,3,1890.91
8091,1940,3,2645.05
8615,2285,1,750.55
9278,2746,3,3175.77
9359,2797,3,284.78
5222,128,1,1215.43
5428,244,3,3484.56
5811,458,1,157.33
7778,1720,2,2518.77
8272,2070,2,16.97
8835,2431,1,483.89
7173,1260,3,1574.58
8186,2014,1,173.37
5509,289,3,1425.3
5960,540,1,37.88
7493,1499,2,2763.46
8900,2468,3,1312.46
9417,2844,3,16051.97
5074,51,3,924.07
7713,1671,1,220.81
8149,1987,2,5603.45
8352,2120,2,396.18
8459,2188,1,419.62
8583,2263,2,550.33
9343,2788,1,1521.53
5296,165,3,1609.46
5374,211,3,320.48
5936,527,1,575.17
5942,530,1,371.26
7069,1192,3,6651.61
8177,2008,2,7136.47
9362,2799,1,79.59
5883,497,3,653.19
7696,1661,3,473.43
8986,2525,3,193.44
9416,2844,1,3210.39
5015,17,1,635.86
7294,1344,1,182.55
5863,487,3,2038.06
6751,996,3,1024.26
8881,2456,1,161.85
9544,2936,2,167.83
6639,925,3,4343.24
7222,1291,1,493.96
7375,1406,1,305.44
7387,1418,1,605.9
7854,1767,1,235.47
8139,1980,1,297.29
9239,2713,3,8513.06
5791,448,1,269.71
6419,800,3,686.76
7405,1434,3,1943.14
8040,1910,3,3135.86
8188,2015,1,3.42
9237,2711,2,1026.42
5402,227,3,6751.89
5983,551,3,3181.2
8617,2286,1,333.56
8662,2315,1,124.49
5133,81,3,1746.46
7478,1487,2,86.85
7781,1722,3,1183.88
5013,16,1,149.53
6043,585,3,795.42
8024,1899,3,2224.19
8425,2167,2,746.26
8785,2394,3,10252.08
9308,2767,1,1113.17
5490,280,1,357.88
6087,612,3,2497.02
6742,992,1,112.55
7416,1442,3,1745.15
5238,135,3,253
6866,1068,3,1767.87
8061,1922,2,320.03
9100,2607,2,987.6
5889,500,3,2177.59
7563,1564,3,939.59
8229,2043,1,1076.7
9167,2658,1,264.08
5016,17,3,3179.28
6159,654,3,3368.59
8653,2309,2,96.06
5181,106,3,493.89
6289,726,1,85.09
8661,2313,3,4160.01
8793,2400,3,875.08
5038,31,1,110.24
7129,1233,3,1640.98
9083,2598,1,32.16
5585,333,1,219.17
6605,906,1,2049.9
