Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
227,80,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
228,107,,CONTRATO,1354488.96,107728.63,508195,615923.63,738565.33,30,406346.69,32318.59,152458.5,184777.09,221569.6
229,107,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
230,150,,CONTRATO,1354488.96,94760.5,615923.63,710684.13,643804.83,30,406346.69,28428.15,184777.09,213205.24,193141.45
231,150,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
232,151,,CONTRATO,1354488.96,166025.72,710684.13,876709.85,477779.11,30,406346.69,49807.72,213205.24,263012.96,143333.73
233,151,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
234,195,,CONTRATO,1354488.96,35253.77,876709.85,911963.62,442525.34,30,406346.69,10576.13,263012.96,273589.09,132757.6
235,195,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
236,196,,CONTRATO,1354488.96,320204.24,911963.62,1232167.86,122321.1,30,406346.69,96061.27,273589.09,369650.36,36696.33
237,196,2,AMPLIACIÓN 1,230464.71,0,0,0,230464.71,0,0,0,0,0,0
238,394,,CONTRATO,1354488.96,122321.1,1232167.86,1354488.96,0,30,406346.69,36696.33,369650.36,406346.69,0
239,394,2,AMPLIACIÓN 1,230464.71,124100.51,0,124100.51,106364.2,0,0,0,0,0,0
240,81,,CONTRATO,683098.74,37405.05,0,37405.05,645693.69,30,204929.62,11221.52,0,11221.52,193708.1
241,82,,CONTRATO,683098.74,123273.42,37405.05,160678.47,522420.27,30,204929.62,36982.03,11221.52,48203.55,156726.07
242,207,,CONTRATO,683098.74,323040.57,160678.47,483719.04,199379.7,30,204929.62,96912.17,48203.55,145115.72,59813.9
243,260,,CONTRATO,683098.74,83262.63,483719.04,566981.67,116117.07,30,204929.62,59813.9,145115.72,204929.62,0
244,50,,CONTRATO,1690749.74,219675.73,0,219675.73,1471074.01,30,507224.92,65902.72,0,65902.72,441322.2
245,95,,CONTRATO,1690749.74,430149.67,219675.73,649825.4,1040924.34,30,507224.92,129044.9,65902.72,194947.62,312277.3
246,127,,CONTRATO,1690749.74,882552.07,649825.4,1532377.47,158372.27,30,507224.92,312277.3,194947.62,507224.92,0
247,212,,CONTRATO,1690749.74,100402.59,1532377.47,1632780.06,57969.68,30,507224.92,0,507224.92,507224.92,0
248,341,,CONTRATO,246588.61,3040.05,0,3040.05,243548.56,30,73976.58,912.02,0,912.02,73064.56
249,342,,CONTRATO,246588.61,20365.26,3040.05,23405.31,223183.3,30,73976.58,6109.58,912.02,7021.6,66954.98
250,343,,CONTRATO,246588.61,67902.6,23405.31,91307.91,155280.7,30,73976.58,20370.78,7021.6,27392.38,46584.2
251,344,,CONTRATO,246588.61,38888.25,91307.91,130196.16,116392.45,30,73976.58,11666.48,27392.38,39058.86,34917.72
252,505,,CONTRATO,246588.61,62226.46,130196.16,192422.62,54165.99,30,73976.58,18667.94,39058.86,57726.8,16249.78
253,506,,CONTRATO,246588.61,22111.49,192422.62,214534.11,32054.5,30,73976.58,16249.78,57726.8,73976.58,0
254,30,,CONTRATO,987527.21,214869.53,0,214869.53,772657.68,30,296258.16,64460.86,0,64460.86,231797.3
255,30,23,AMPLIACIÓN 1,322848.52,0,0,0,322848.52,0,0,0,0,0,0
256,30,93,AMPLIACIÓN 2,2005726.1,0,0,0,2005726.1,30,601717.83,0,0,0,601717.83
257,30,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
258,30,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
259,49,,CONTRATO,987527.21,310555.36,214869.53,525424.89,462102.32,30,296258.16,93166.61,64460.86,157627.47,138630.69
260,49,23,AMPLIACIÓN 1,322848.52,0,0,0,322848.52,0,0,0,0,0,0
261,49,93,AMPLIACIÓN 2,2005726.1,0,0,0,2005726.1,30,601717.83,0,0,0,601717.83
262,49,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
263,49,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
264,153,,CONTRATO,987527.21,79397.21,525424.89,604822.1,382705.11,30,296258.16,23819.16,157627.47,181446.63,114811.53
265,153,23,AMPLIACIÓN 1,322848.52,0,0,0,322848.52,0,0,0,0,0,0
266,153,93,AMPLIACIÓN 2,2005726.1,0,0,0,2005726.1,30,601717.83,0,0,0,601717.83
267,153,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
268,153,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
269,236,,CONTRATO,987527.21,218782.01,604822.1,823604.11,163923.1,30,296258.16,65634.6,181446.63,247081.23,49176.93
270,236,23,AMPLIACIÓN 1,322848.52,0,0,0,322848.52,0,0,0,0,0,0
271,236,93,AMPLIACIÓN 2,2005726.1,0,0,0,2005726.1,30,601717.83,0,0,0,601717.83
272,236,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
273,236,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
274,502,,CONTRATO,987527.21,151577.4,823604.11,975181.51,12345.7,30,296258.16,49176.93,247081.23,296258.16,0
275,502,23,AMPLIACIÓN 1,322848.52,0,0,0,322848.52,0,0,0,0,0,0
276,502,93,AMPLIACIÓN 2,2005726.1,0,0,0,2005726.1,30,601717.83,0,0,0,601717.83
277,502,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
278,502,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
279,935,,CONTRATO,987527.21,12345.69,975181.51,987527.2,0.01,30,296258.16,0,296258.16,296258.16,0
280,935,23,AMPLIACIÓN 1,322848.52,322848.52,0,322848.52,0,0,0,0,0,0,0
281,935,93,AMPLIACIÓN 2,2005726.1,300093.87,0,300093.87,1705632.23,30,601717.83,190586.42,0,190586.42,411131.41
282,935,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
283,935,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
284,1035,,CONTRATO,987527.21,0.01,987527.2,987527.21,0,30,296258.16,0,296258.16,296258.16,0
285,1035,23,AMPLIACIÓN 1,322848.52,0,322848.52,322848.52,0,0,0,0,0,0,0
286,1035,93,AMPLIACIÓN 2,2005726.1,193898.55,300093.87,493992.42,1511733.68,30,601717.83,116339.14,190586.42,306925.56,294792.27
287,1035,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
288,1035,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
289,1480,,CONTRATO,987527.21,0,987527.21,987527.21,0,30,296258.16,0,296258.16,296258.16,0
290,1480,23,AMPLIACIÓN 1,322848.52,0,322848.52,322848.52,0,0,0,0,0,0,0
291,1480,93,AMPLIACIÓN 2,2005726.1,892412.85,493992.42,1386405.27,619320.83,30,601717.83,267723.85,306925.56,574649.41,27068.42
292,1480,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,0,0,0,299851.1
293,1480,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
294,1575,,CONTRATO,987527.21,0,987527.21,987527.21,0,30,296258.16,0,296258.16,296258.16,0
295,1575,23,AMPLIACIÓN 1,322848.52,0,322848.52,322848.52,0,0,0,0,0,0,0
296,1575,93,AMPLIACIÓN 2,2005726.1,378069.91,1386405.27,1764475.18,241250.92,30,601717.83,27068.42,574649.41,601717.83,0
297,1575,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,86352.55,0,86352.55,213498.55
298,1575,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
299,1836,,CONTRATO,987527.21,0,987527.21,987527.21,0,30,296258.16,0,296258.16,296258.16,0
300,1836,23,AMPLIACIÓN 1,322848.52,0,322848.52,322848.52,0,0,0,0,0,0,0
301,1836,93,AMPLIACIÓN 2,2005726.1,41527.15,1764475.18,1806002.33,199723.77,30,601717.83,0,601717.83,601717.83,0
302,1836,69,AMPLIACIÓN 3,999503.66,0,0,0,999503.66,30,299851.1,12458.14,86352.55,98810.69,201040.41
303,1836,70,AMPLIACIÓN 4,947309.19,0,0,0,947309.19,30,284192.76,0,0,0,284192.76
