Id_Obra,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Id_Oficio_Asignacion_Obra
45,51,PAVIMENTACION DE LA CALLE ARTEMISA (TRAMO: EROS A PAVIMENTO EXISTENTE SUR) LA ERMITA,Unitario,1,1,Obra,1,0
46,50,PAVIMENTACION DE LA CALLE QUIO (TRAMO: DE BLVD. CORCIRA A EOLO) LA ERMITA,Unitario,1,1,Obra,1,0
47,47,"CONSTRUCCION DE BANQUETAS EN BLVD. PASEO DE LOS NIÑOS, LEON, GTO",Unitario,1,1,Obra,1,0
48,46,"PAVIMENTACION DE LA CALLE TROADE ( TRAMO: COLOSENSES A ARROYO ), EN LEON DE LOS ALDAMA",Unitario,1,1,Obra,1,0
49,48,PROYECTO EJECUTIVO DE LAS CALLES: CRUZ DE PALOMINO TRAMO: DEL ORATORIO - BLVD. ARISTOTELES; CALLE DE,Unitario,1,1,Obra,1,0
50,42,PROYECTO EJECUTIVO DE LAS CALLES: DAVID GALVAN BERMUDEZ TRAMO: DE LA LUZ - JULIO ALVAREZ MENDOZA,Unitario,1,1,Obra,1,0
51,44,"PAVIMENTACION DE LA CALLE FILIPENSES ( TRAMO: ROMANOS A COLOSENSES ), EN LEON DE LOS ALDAMA",Unitario,1,1,Obra,1,0
52,52,PAVIMENTACION DE LA CALLE PLATON ( TRAMO: DE KANT - CITADINA ) CENTRO FAMILIAR LA SOLEDAD,Unitario,1,1,Obra,1,0
53,53,"PAVIMENTACION DE LA CALLE ARALIA ( TRAMO: BLVD. HIDALGO - PAQUIME + 25 METROS), EN LEON DE LOS ALDAM",Unitario,1,1,Obra,1,0
54,54,"PAVIMENTACION DE LA CALLE TIBET ( TRAMO: CALLE BARODA - DE LOS BALUARTES ), EN LEON DE LOS ALDAMA",Unitario,1,1,Obra,1,0
55,55,"CONSTRUCCION Y REHABILITACION DE ELEMENTOS EN VIA PUBLICA, LEON GTO",Unitario,1,1,Obra,1,0
56,56,CONSTRUCCION Y REHABILIATACION DE ELEMENTOS EN VIA PUBLICA EN BLVD. AEROPUERTO LEON GTO.,Unitario,1,1,Obra,1,0
57,57,PAVIMENTACION DE LA CALLE BALCON DE LAS ABEJAS ( TRAMO: DE CALLE BALCON DE LAS MARIPOSAS A TOPAR ORI,Unitario,1,1,Obra,1,0
58,58,PAVIMENTACION DE LA CALLE PERSEFONE ( TRAMO CALLE ALTAR DE MARIA REINA A EROS) LA ERMITA,Unitario,1,1,Obra,1,0
59,59,PAVIMENTACION DE LA CALLE BALCON DE LOS CHARRANES ( TRAMO: BALCON DE LAS MARIPOSAS A CAMINO VECINAL,Unitario,1,1,Obra,1,0
60,60,"SUMINISTRO Y COLOCACION DE 495 CALENTADORES SOLARES EN LAS COLONIAS PILETAS (I, II, III Y IV) Y SAN",Unitario,1,1,Obra,1,0
61,62,"PROYECTO EJECUTIVO DEL BLVD. PERDIGON TRAMO: BLVD. HILARIO MEDINA A CRUCE CON ARROYO EL EJIDO LEON,",Unitario,1,1,Obra,1,0
62,63,"ESTUDIO DE MECANICA DE SUELOS EN DIFERENTES ESCUELAS DE LA CIUDAD DE LEON, GTO.",Unitario,1,1,Obra,1,0
