Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
69,1079,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
70,1079,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
71,1091,,CONTRATO,39059362.82,1503425.97,16090237.88,17593663.85,21465698.97,30,11717808.85,451027.79,4827071.37,5278099.16,6439709.69
72,1091,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
73,1091,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
74,1239,,CONTRATO,39059362.82,900272.74,17593663.85,18493936.59,20565426.23,30,11717808.85,270081.82,5278099.16,5548180.98,6169627.87
75,1239,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
76,1239,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
77,1252,,CONTRATO,39059362.82,2022151.61,18493936.59,20516088.2,18543274.62,30,11717808.85,606645.48,5548180.98,6154826.46,5562982.39
78,1252,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
79,1252,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
80,1482,,CONTRATO,39059362.82,3997491.52,20516088.2,24513579.72,14545783.1,30,11717808.85,1199247.46,6154826.46,7354073.92,4363734.93
81,1482,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
82,1482,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
83,1547,,CONTRATO,39059362.82,2193095.45,24513579.72,26706675.17,12352687.65,30,11717808.85,657928.64,7354073.92,8012002.56,3705806.29
84,1547,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
85,1547,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
86,1721,,CONTRATO,39059362.82,2191499.41,26706675.17,28898174.58,10161188.24,30,11717808.85,657449.82,8012002.56,8669452.38,3048356.47
87,1721,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
88,1721,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
89,1745,,CONTRATO,39059362.82,2601626.49,28898174.58,31499801.07,7559561.75,30,11717808.85,780487.95,8669452.38,9449940.33,2267868.52
90,1745,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
91,1745,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
92,1853,,CONTRATO,39059362.82,2412153.61,31499801.07,33911954.68,5147408.14,30,11717808.85,723646.08,9449940.33,10173586.41,1544222.44
93,1853,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
94,1853,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
95,1903,,CONTRATO,39059362.82,894663.63,33911954.68,34806618.31,4252744.51,30,11717808.85,268399.09,10173586.41,10441985.5,1275823.35
96,1903,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
97,1903,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
98,1994,,CONTRATO,39059362.82,441204.26,34806618.31,35247822.57,3811540.25,30,11717808.85,132361.28,10441985.5,10574346.78,1143462.07
99,1994,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
100,1994,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
