Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
1379,278,1,357.81
1380,278,3,1789.06
1381,279,1,186.82
1382,279,3,934.11
1383,280,1,466.57
1384,280,3,2332.86
1385,281,1,102.56
1386,281,3,512.78
1387,282,1,144.46
1388,282,3,722.29
1389,283,1,5538.88
1390,283,3,27694.38
1391,284,1,227.24
1392,284,3,1136.21
1393,285,1,6.08
1394,285,3,30.42
1395,286,1,89.25
1396,286,3,446.24
1397,287,1,260.51
1398,287,3,1302.53
1399,288,1,1730.82
1400,288,3,8654.08
1401,291,1,498.5
1402,291,3,2492.51
1403,292,1,38.54
1404,292,3,192.71
1405,295,1,514.39
1406,295,3,2571.97
1407,298,1,900.21
1408,298,3,4501.06
1409,302,1,230.33
1410,302,3,1151.66
1411,305,1,21.74
1412,305,3,108.7
1413,306,1,180.89
1414,306,3,904.44
1415,307,1,79.41
1416,307,3,397.03
1417,308,1,224.83
1418,308,3,1124.13
1419,310,1,242.88
1420,310,3,1214.42
1421,311,1,140.42
1422,311,3,702.11
1423,312,1,457.21
1424,312,3,2286.03
1425,313,2,603.51
1426,314,2,2577.83
1427,317,1,259.92
1428,317,3,1299.6
1429,318,1,69.83
1430,318,3,349.15
1431,320,1,13.52
1432,320,3,67.6
1433,321,1,425.49
1434,321,3,2127.44
1435,322,1,367.41
1436,322,3,1837.06
1437,323,1,179.24
1438,323,3,896.22
1439,324,1,715.06
1440,324,3,3575.32
1441,325,1,149.74
1442,325,3,748.68
1443,326,1,163.01
1444,326,3,815.06
1445,329,1,128.84
1446,329,3,644.2
1447,330,1,230.55
1448,330,3,1152.73
1449,331,1,119.78
1450,331,3,598.88
1451,334,1,237.72
1452,334,3,1188.59
1453,335,1,139.19
1454,335,3,695.93
1455,338,1,252.18
1456,338,3,1260.91
1457,339,1,-81.01
1458,339,3,-405.07
1459,340,1,271.19
1460,340,3,1355.93
1461,343,1,860.89
1462,343,3,4304.43
1463,344,1,70.64
1464,344,3,353.2
1465,347,1,597.54
1466,347,3,2987.7
1467,348,1,223.77
1468,348,3,1118.87
1469,349,1,132.86
1470,349,3,664.3
1471,350,1,501.95
1472,350,3,2509.77
1473,351,1,874.6
1474,351,3,4373.01
1475,352,1,205.83
1476,352,3,1029.17
1477,353,1,331.09
1478,353,3,1655.44
1479,354,1,156.44
1480,354,3,782.18
1481,355,1,61
1482,355,3,304.99
1483,356,1,2088.28
1484,356,3,10441.4
1485,357,1,311.82
1486,357,3,1559.08
1487,358,1,780.54
1488,358,3,3902.68
1489,359,1,511.45
1490,359,3,2557.27
1491,360,1,178.67
1492,360,3,893.33
1493,365,1,431.52
1494,365,3,2157.59
1495,372,1,101.37
1496,372,3,506.85
1497,373,2,592.98
1498,374,2,1849.89
1499,375,1,752.56
1500,375,3,3762.79
1501,378,1,677.67
1502,378,3,3388.37
1503,379,1,117.41
1504,379,3,587.07
1505,380,1,163.37
1506,380,3,816.85
1507,381,1,380.06
1508,381,3,1900.3
1509,382,1,173.97
1510,382,3,869.87
1511,383,1,135.7
1512,383,3,678.52
1513,386,1,270.97
1514,386,3,1354.85
1515,387,1,1006.81
1516,387,3,5034.07
1517,388,1,630.99
1518,388,3,3154.94
1519,394,1,14.41
1520,394,3,72.06
1521,395,1,416.96
1522,395,3,2084.78
1523,396,1,274.94
1524,396,3,1374.71
1525,397,1,155.43
1526,397,3,777.15
1527,398,1,645.17
1528,398,3,3225.83
1529,399,1,12.89
1530,399,3,64.44
1531,400,1,1426.53
1532,400,3,7132.66
1533,401,1,30.68
1534,401,3,153.41
1535,402,1,244.33
1536,402,3,1221.63
1537,403,1,192.24
1538,403,3,961.21
1539,404,1,403.08
1540,404,3,2015.4
1541,405,1,217.53
1542,405,3,1087.65
1543,406,1,250.66
1544,406,3,1253.32
1545,407,2,1226.41
1546,408,1,137.52
1547,408,3,687.59
1548,409,1,198.37
1549,409,3,991.84
1550,410,1,82.21
1551,410,3,411.03
1552,411,1,49.86
1553,411,3,249.3
1554,412,1,2071.97
1555,412,3,10359.84
1556,413,1,420.99
1557,413,3,2104.93
1558,414,1,194.87
1559,414,3,974.34
1560,415,1,285.82
1561,415,3,1429.1
1562,417,1,288.08
1563,417,3,1440.39
1564,418,1,295.63
1565,418,3,1478.13
1566,419,1,152.97
1567,419,3,764.83
1568,420,2,4414.27
1569,421,1,559.1
1570,421,3,2795.51
1571,422,1,1040.76
1572,422,3,5203.81
1573,423,1,309.89
1574,423,3,1549.45
1575,424,1,57.01
1576,424,3,285.06
1577,426,1,683.86
1578,426,3,3419.31
1579,429,1,329.45
1580,429,3,1647.27
1581,430,1,1.75
1582,430,3,8.76
1583,431,1,403.51
1584,431,3,2017.57
1585,432,1,413.81
1586,432,3,2069.06
1587,433,1,31.65
1588,433,3,158.26
1589,434,1,270.12
1590,434,3,1350.58
1591,435,1,1228.48
1592,435,3,6142.39
1593,436,1,193.69
1594,436,3,968.44
1595,437,1,235.01
1596,437,3,1175.07
1597,438,1,119.32
1598,438,3,596.59
1599,439,2,1601.72
1600,440,1,537.24
1601,440,3,2686.22
