Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,
49,31,2,3270-01280-9,05/05/2016 00:00,05/05/2016 00:00,AFIANZADORA ASERTA S.A. DE C.V,05/05/2017 00:00,,CUMPLIMIENTO,67514.38,
50,31,1,3270-01279-7,05/05/2016 00:00,05/05/2016 00:00,AFIANZADORA ASERTA S.A. DE C.V,05/05/2017 00:00,,ANTICIPO,202543.14,
51,32,2,1693142,05/05/2016 00:00,05/05/2016 00:00,PRIMERO FIANZAS S.A. DE C.V.,05/05/2017 00:00,,CUMPLIMIENTO,123043.88,
52,32,1,1693141,05/05/2016 00:00,05/05/2016 00:00,PRIMERO FIANZAS S.A. DE C.V.,05/05/2017 00:00,,ANTICIPO,369131.65,
53,33,2,3344-00122-9,09/05/2016 00:00,09/05/2016 00:00,AFIANZADORA ASERTA S.A. DE C.V,09/05/2017 00:00,,CUMPLIMIENTO,113520.65,
54,33,1,3344-00121-2,09/05/2016 00:00,09/05/2016 00:00,AFIANZADORA ASERTA S.A. DE C.V,09/05/2017 00:00,,ANTICIPO,340578.17,
55,34,2,1991194,09/05/2016 00:00,09/05/2016 00:00,AFIANZADORA SOFIMEX S.A. DE C.,09/05/2017 00:00,,CUMPLIMIENTO,114959.1,
56,34,1,1991181,09/05/2016 00:00,09/05/2016 00:00,AFIANZADORA SOFIMEX S.A. DE C.,09/05/2017 00:00,,ANTICIPO,344877.3,
57,35,2,88288394,17/05/2016 00:00,17/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,17/05/2017 00:00,,CUMPLIMIENTO,99867.12,
58,35,1,88288391,17/05/2016 00:00,17/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,17/05/2017 00:00,,ANTICIPO,299601.35,
59,36,2,706657,17/05/2016 00:00,17/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",17/05/2017 00:00,,CUMPLIMIENTO,30232.13,
60,36,1,1706635,17/05/2016 00:00,17/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",17/05/2017 00:00,,ANTICIPO,90696.41,
61,37,2,1706657,17/05/2016 00:00,17/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",17/05/2017 00:00,,CUMPLIMIENTO,30232.13,
62,37,1,1706635,17/05/2016 00:00,17/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",17/05/2017 00:00,,ANTICIPO,90696.41,
63,38,2,170610,20/05/2016 00:00,20/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",20/05/2017 00:00,,CUMPLIMIENTO,36899.08,
64,38,1,1706815,20/05/2016 00:00,20/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",20/05/2017 00:00,,ANTICIPO,110697.24,
65,39,2,1706810,20/05/2016 00:00,20/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",20/05/2017 00:00,,CUMPLIMIENTO,36899.08,
66,39,1,1706815,20/05/2016 00:00,20/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",20/05/2017 00:00,,ANTICIPO,110697.24,
67,40,2,4143-01756-7,18/05/2016 00:00,18/05/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",18/05/2017 00:00,,CUMPLIMIENTO,125588.66,
68,40,1,4143-01755-0,18/05/2016 00:00,18/05/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",18/05/2017 00:00,,ANTICIPO,376765.99,
69,41,2,88288665,18/05/2016 00:00,18/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/05/2017 00:00,,CUMPLIMIENTO,28766.16,
70,41,1,88288663,18/05/2016 00:00,18/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/05/2017 00:00,,ANTICIPO,86298.47,
71,42,2,88288665,18/05/2016 00:00,18/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/05/2017 00:00,,CUMPLIMIENTO,28766.16,
