Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
461,124,11/11/2016 12:42,22/10/2016 00:00,29/09/2016 00:00,541/2016,21/10/2016 00:00,AUTORIZADO,TÉRMINADO
462,182,11/11/2016 14:03,21/10/2016 00:00,14/10/2016 00:00,543/2016,27/10/2016 00:00,AUTORIZADO,TÉRMINADO
463,101,14/11/2016 11:28,14/01/2017 00:00,23/09/2016 00:00,544/2016,06/10/2016 00:00,AUTORIZADO,TÉRMINADO
464,53,14/11/2016 11:52,16/11/2016 00:00,01/10/2016 00:00,545/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
465,118,15/11/2016 10:21,09/11/2016 00:00,08/09/2016 00:00,546/2016,19/09/2016 00:00,AUTORIZADO,TÉRMINADO
466,175,15/11/2016 12:39,24/10/2016 00:00,21/09/2016 00:00,548/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
467,176,15/11/2016 12:42,24/10/2016 00:00,21/09/2016 00:00,549/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
469,152,15/11/2016 14:09,24/10/2016 00:00,19/10/2016 00:00,551/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
470,153,15/11/2016 14:14,24/10/2016 00:00,19/10/2016 00:00,552/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
471,118,15/11/2016 14:59,09/11/2016 00:00,10/10/2016 00:00,553/2016,20/10/2016 00:00,AUTORIZADO,TÉRMINADO
472,118,15/11/2016 15:01,09/11/2016 00:00,25/10/2016 00:00,554/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
473,111,15/11/2016 15:42,01/10/2016 00:00,01/09/2016 00:00,555/2016,12/09/2016 00:00,AUTORIZADO,TÉRMINADO
474,112,15/11/2016 15:44,01/10/2016 00:00,01/09/2016 00:00,556/2016,12/09/2016 00:00,AUTORIZADO,TÉRMINADO
475,179,16/11/2016 13:10,15/10/2016 00:00,30/09/2016 00:00,563/2016,20/10/2016 00:00,AUTORIZADO,TÉRMINADO
476,133,16/11/2016 15:00,05/11/2016 00:00,31/10/2016 00:00,564/2016,07/11/2016 00:00,AUTORIZADO,TÉRMINADO
477,125,16/11/2016 15:11,13/11/2016 00:00,04/11/2016 00:00,565/2016,16/11/2016 00:00,AUTORIZADO,TÉRMINADO
478,185,16/11/2016 15:38,04/11/2016 00:00,18/10/2016 00:00,566/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
479,186,16/11/2016 15:39,04/11/2016 00:00,18/10/2016 00:00,567/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
480,136,16/11/2016 15:45,30/10/2016 00:00,24/10/2016 00:00,568/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
481,100,16/11/2016 15:53,18/10/2016 00:00,14/11/2016 00:00,569/2016,16/11/2016 00:00,AUTORIZADO,TÉRMINADO
482,118,17/11/2016 12:42,09/11/2016 00:00,25/10/2016 00:00,571/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
