Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
168,555,1,28/02/2011 00:00,28/02/2011 00:00,13/03/2011 00:00,119489.48,0,0,1,709
97,391,1,08/12/2010 00:00,08/12/2010 00:00,31/12/2010 00:00,482053.65,0,0,1,454
96,334,1,27/12/2010 00:00,27/12/2010 00:00,29/01/2011 00:00,150788.37,0,0,1,476
113,261,1,31/12/2010 00:00,31/12/2010 00:00,25/12/2010 00:00,998712.99,0,0,1,390
131,320,1,01/03/2011 00:00,01/03/2011 00:00,12/03/2011 00:00,176021.83,0,0,1,479
180,436,1,03/08/2011 00:00,03/08/2011 00:00,04/09/2011 00:00,2133845.55,30,640153.67,1,596
190,508,1,13/09/2011 00:00,13/09/2011 00:00,30/11/2011 00:00,213075.48,0,0,1,663
75,226,1,01/11/2010 00:00,01/11/2010 00:00,05/12/2010 00:00,522877.09,0,0,1,344
85,284,1,10/12/2010 00:00,10/12/2010 00:00,10/04/2011 00:00,2410617.09,30,723185.13,1,422
39,36,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,77
130,340,2,30/12/2010 00:00,30/12/2010 00:00,01/01/2011 00:00,47359.16,0,0,1,
73,9,1,26/11/2010 00:00,26/11/2010 00:00,05/03/2011 00:00,29135136.12,30,8740540.83,1,32
192,556,1,10/10/2011 00:00,10/10/2011 00:00,22/10/2011 00:00,1314061.93,0,0,1,743
29,14,1,24/05/2010 00:00,24/05/2010 00:00,31/05/2010 00:00,29941.43,0,0,1,
162,438,1,27/04/2011 00:00,27/04/2011 00:00,06/05/2011 00:00,4865823.27,30,1459746.97,1,599
119,187,1,31/12/2010 00:00,31/12/2010 00:00,31/03/2011 00:00,499990.79,0,0,1,289
104,254,1,29/11/2010 00:00,29/11/2010 00:00,12/12/2010 00:00,345484.8,0,0,1,351
151,422,1,15/01/2011 00:00,15/01/2011 00:00,29/01/2011 00:00,260975.12,0,0,1,492
163,365,2,07/03/2011 00:00,07/03/2011 00:00,18/06/2011 00:00,141694.59,0,0,1,484
62,168,1,17/09/2010 00:00,17/09/2010 00:00,25/09/2010 00:00,49159.71,0,0,1,
171,138,2,11/02/2011 00:00,11/02/2011 00:00,15/04/2011 00:00,97588.25,0,0,1,223
92,323,1,14/12/2010 00:00,14/12/2010 00:00,31/12/2010 00:00,54359.49,0,0,1,466
110,9,2,31/12/2010 00:00,31/12/2010 00:00,16/07/2011 00:00,32176146.28,0,0,1,33
199,556,3,21/02/2012 00:00,21/02/2012 00:00,21/04/2012 00:00,4014000.11,30,1204200.03,1,745
141,252,1,01/03/2011 00:00,01/03/2011 00:00,12/03/2011 00:00,679198.98,0,0,1,353
159,493,1,04/04/2011 00:00,04/04/2011 00:00,30/04/2011 00:00,857113.27,0,0,1,692
176,475,1,12/07/2011 00:00,12/07/2011 00:00,10/10/2011 00:00,370486.05,0,0,1,615
116,256,1,27/10/2010 00:00,27/10/2010 00:00,06/11/2010 00:00,123000.82,0,0,1,280
146,122,1,31/12/2010 00:00,31/12/2010 00:00,01/01/2011 00:00,59070.73,0,0,1,111
154,154,1,28/02/2011 00:00,28/02/2011 00:00,31/03/2011 00:00,82547.56,0,0,1,
198,550,3,23/12/2011 00:00,23/12/2011 00:00,31/12/2011 00:00,349998.2,0,0,1,722
17,37,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,79
20,36,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,76
147,247,1,17/02/2011 00:00,17/02/2011 00:00,05/03/2011 00:00,356354.61,0,0,1,
200,508,2,10/01/2012 00:00,10/01/2012 00:00,30/07/2012 00:00,140948.32,0,0,1,664
197,556,2,21/12/2011 00:00,21/12/2011 00:00,31/01/2012 00:00,4966395.35,30,1489918.6,1,744
33,68,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,60082.03,0,0,1,102
65,47,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,86
164,567,1,30/04/2011 00:00,30/04/2011 00:00,05/06/2011 00:00,1788839.4,0,0,1,726
98,171,1,27/12/2010 00:00,27/12/2010 00:00,31/03/2011 00:00,187837.87,0,0,1,216
69,211,1,13/10/2010 00:00,13/10/2010 00:00,22/10/2010 00:00,121943.11,0,0,1,271
64,48,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,89
195,478,1,30/11/2011 00:00,30/11/2011 00:00,31/12/2011 00:00,93630.93,0,0,1,644
49,87,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,83
56,152,1,26/10/2010 00:00,26/10/2010 00:00,11/12/2010 00:00,1600000,30,480000,1,234
58,50,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,114
112,389,1,13/12/2010 00:00,13/12/2010 00:00,31/12/2010 00:00,1566788.07,30,470036.42,1,563
80,222,1,29/11/2010 00:00,29/11/2010 00:00,25/12/2010 00:00,671801.16,0,0,1,367
155,465,1,12/02/2011 00:00,12/02/2011 00:00,19/03/2011 00:00,114522.07,0,0,1,579
76,216,1,16/11/2010 00:00,16/11/2010 00:00,05/12/2010 00:00,291577.39,0,0,1,310
106,219,1,29/11/2010 00:00,29/11/2010 00:00,15/01/2011 00:00,617788.33,0,0,1,369
26,146,1,25/08/2010 00:00,25/08/2010 00:00,31/12/2010 00:00,328147.19,0,0,1,195
40,38,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,74
166,564,1,12/05/2011 00:00,12/05/2011 00:00,25/06/2011 00:00,1391377.95,0,0,1,714
188,255,1,22/08/2011 00:00,22/08/2011 00:00,03/09/2011 00:00,6190181.22,0,0,1,284
157,369,1,18/02/2011 00:00,18/02/2011 00:00,20/03/2011 00:00,482282.53,0,0,1,470
