Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
497,659,C-2510-601-6101-C/0488/2010,REHABILITACION DE LOS PAVIMENTOS DEL BLVD. CERVANTES SAAVEDRA LEON,720437.26,30,216131.18,15/12/2010 00:00,27/12/2010 00:00,22/01/2011 00:00,1,1,1,,EJECUCION,2010,74,,,10,15/12/2010 00:00,1,,NULL,0,NULL
498,639,C-2510-601-6101-C/0468/2010,CONFORMACION DE LAS CALLES NO PAVIMENTADAS EN EL SECTOR DE LAS JOYAS LEON,830549.18,30,249164.75,09/12/2010 00:00,20/12/2010 00:00,29/01/2011 00:00,1,1,1,,EJECUCION,2010,96,,,10,09/12/2010 00:00,1,,NULL,0,NULL
499,680,A-2510-315-6101-H/0506/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: MANUEL MOTA TRAMO: BLVD. ENRIQUE ARANDA GUEDEA - PAULINO DURAN COL. LEON I; RAMON RAMIREZ TRAMO: BLVD. TELLEZ CRUCES - JUAN RUIZ COL. LEON I,167319,30,50195.7,17/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,24,,,1,17/12/2010 00:00,1,,NULL,0,NULL
500,651,A-2510-315-6101-H/0480/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: BALCON DE LAS GOLONDRINAS TRAMO: BALCON DE LAS LUCIERNAGAS - BALCON DE LOS REBIJUNCOS; BALCON DE LAS LUCIERNAGAS TRAMO: BALCON DE LOS CHARRANES - BALCON DE LAS GOLONDRINAS; BALCON DE LAS ABEJAS TRAMO: BALCON DE LOS SORZALES - BALCON DE LAS MARIPOSAS; Y BALCON DE LOS GRAJILLAS TRAMO: BALCON DE LA JOYA - BALCON DE LAS COL. BALCONES DE LA JOYA,446075.61,30,133822.68,16/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,359,,,1,16/12/2010 00:00,1,,NULL,0,NULL
501,658,A-2510-309-6101-D/0487/2010,PAVIMENTACION DE LA CALLE TUCSON TRAMO: DE CALLE NUEVA ORLEANS A CALLE PENSILVANIA COL. LAS AMERICAS,770515.47,30,231154.64,15/12/2010 00:00,27/12/2010 00:00,19/02/2011 00:00,1,1,1,,EJECUCION,2010,34,,,1,15/12/2010 00:00,1,,NULL,0,NULL
502,649,A-2510-315-6101-H/0478/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: 23 DE MAYO TRAMO: BLVD. ADRIAN SERVIN - ALFONSO TRUEBA OLIVARES; SINARQUISMO TRAMO: BLVD. ADRIAN SERVIN - ALFONSO TRUEBA OLIVARES; 24 DE FEBRERO TRAMO: ADRIAN SERVIN - ALFONSO TRUEBA OLIVARES; MANUEL ZERMEÑO TRAMO: BLVD. SERVIN - ALFONSO TRUEBA OLIVARES; JOSE TRUEBA OLIVARES TRAMO: BLVD. ADRIAN SERVIN - ALFONSO TRUEBA OLIVARES Y JOSE MARIN DURAN TRAMO: BLVD. ADRIAN SERVIN - ALFONSO TRUEBA OLIVARES COL. SINARQUISTAS,346473.92,30,103942.18,16/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,356,,,1,16/12/2010 00:00,1,,NULL,0,NULL
503,688,A-2510-315-6101-H/0513/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: RIVERA DEL RIO TRAMO: CARTERO - MALECON DEL RIO COL. RIVERA DEL RIO; MALECON DEL RIO DE LOS GOMEZ TRAMO: RIVERA DEL RIO - VERTIENTE DEL RIO COL. RIVERA DEL RIO/VALLE DEL SUR; PRIVADA AFLUENCIA DEL RIO TRAMO: AFLUENCIA DEL RIO - TOPAR COL. RIVERA DEL RIO,244231.25,30,73269.38,20/12/2010 00:00,03/01/2011 00:00,26/03/2011 00:00,1,1,1,,EJECUCION,2010,446,,,1,20/12/2010 00:00,1,,NULL,0,NULL
504,540,A-2510-344-6101-E/0392/2010,DECORACION DEL ARCO DE LA CALZADA ALUSIVO A L 14 DE NOVIEMBRE DIA MUNDIAL DE LA DIABETES LEON,77364.69,0,0,04/11/2010 00:00,04/11/2010 00:00,11/11/2010 00:00,1,1,1,,EJECUCION,2010,112,,,1,04/11/2010 00:00,1,,NULL,0,NULL
505,676,A-2510-315-6101-H/0502/2010,PROYECTO EJECUTIVO DE PAVIMENTANCION DE LAS CALLES: SAN MELCHOR TRAMO: SAN JUSTO - SAN JACOBO COL. LA PISCINA; TITO GUIZAR TRAMO: JOSE ALFREDO JIMENEZ - DAVID ZAIZAR COL. LOS OLIVOS; Y CALLE COCO TRAMO: AGUACATE - CALLE SIN NOMBRE COL. LAS MANDARINAS,231215.05,30,69364.52,16/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,447,,,1,16/12/2010 00:00,1,,NULL,0,NULL
506,652,A-2510-315-6101-H/0481/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: BALCON DE LOS CHARRANES TRAMO: BALCON DE LAS LECHUZAS - CALLE SIN NOMBRE; BALCON DE LOS COLINES TRAMO: BALCON DE LA JOYA - BALCON DE LAS LECHUZAS; BALCON DE LOS JARIPUS TRAMO: BALCON DE LOS RUISEÑORES - BALCON DE LOS GAVILANES; BALCON DE LOS TUCANES TRAMO: BALCON DE LOS RUISEÑORES - BALCON DE LOS GAVILANES COL. BALCONES DE LA JOYA,473564.3,0,0,14/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,94,,,1,14/12/2010 00:00,1,,NULL,0,NULL
