Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
28,52,B-5051-236-7101-H/0027/2010  PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: FRESNO TRAMO: ARCE-PALMERIN COL. ARBOLEDAS DE INFONAVIT; CALLE NOGAL TRAMO: GUTY CARDENAS-CEDRO COL. ARBOLEDAS DE INFONAVIT; CALLE OLMO TRAMO: FRESNO-ROBLE COL. ARBOLEDAS DE INFONAVIT LEON,ORIGINAL,1,23/02/2010 00:00,,0,0
29,20,F-5051-236-7101-H/0028/2010  PROYECTO  EJECUTIVO DE PAVIMENTACION DE LAS CALLES: JEREZ DE SEVILLA TRAMO: JEREZ DE CASTILLA - JEREZ DE BARCELONA COL. JESUS MARIA; CALLE MONACO TRAMO: BLVD. TORRES LANDA - GOLFO DE TEHUANTEPEC COL. SANTA MARIA DEL GRANJENO LEON,ORIGINAL,1,23/02/2010 00:00,,0,0
30,34,H-2510-904-6101-D/0029/2010  BLVD. DELTA EN EL TRAMO: DE LA VIALIDAD DEL EJE METROPOLITANO DEL BLVD. JUAN ALONSO DE TORRES A BLVD. AEROPUERTO (CUARTA ETAPA TRAMO: DE BLVD. LA LUZ A CALLE VIA DE LOS GIRASOLES) LEON,ORIGINAL,1,24/02/2010 00:00,,0,0
31,9,A-2510-307-6101-D/0030/2010  PUENTE VERTIZ  BICENTENARIO Y PUENTE LA LUZ BICENTENARIO ( PRIMERA ETAPA PAVIMENTACION DE LA INTERSECCION A DESNIVEL DEL BLVD. LA LUZ Y BLVD. MORELOS - LEON ),ORIGINAL,1,01/03/2010 00:00,,0,0
32,9,AMPLIACION 1,AMPLIACION,1,01/03/2010 00:00,31,1,1
33,9,AMPLIACION 2,AMPLIACION,1,01/03/2010 00:00,31,2,2
34,9,"A-2510-307-6101-D/0030/2010*  ESCALATORIA PUENTE VERTIZ  BICENTENARIO Y PUENTE LA LUZ BICENTENARIO ( PRIMERA ETAPA PAVIMENTACION DE LA INTERSECCION A DESNIVEL DEL BLVD. LA LUZ Y BLVD. MORELOS-LEON, GTO.",ORIGINAL,1,01/02/2011 00:00,,0,0
35,24,A-2510-318-6902-D/0031/2010  CONSTRUCCION DE CICLOVIA EN LA CALLE OCEANO INDICO - AV. DEL CANAL TRAMO: DEL BLVD. INSURGENTES A BLVD. MIGUEL DE CERVANTES SAAVEDRA LEON,ORIGINAL,1,01/03/2010 00:00,,0,0
36,24,AMPLIACION 1,AMPLIACION,1,01/03/2010 00:00,35,1,1
37,8,A-2510-318-6902-D/0032/2010  PAVIMENTACION DE LA CALLE CIRCUITO ANTONIO VELAZQUEZ TRAMO: DEL TORERO - PAVIMENTO COL. PLAZA DE TOROS,ORIGINAL,1,02/03/2010 00:00,,0,0
38,1,A-2510-318-6902-E/0033/2010  DESMANTELAMIENTO DE CRISTALERIA Y HERRERIA EDIFICIO MONTES DE OCA CALLE PEDRO MORENO ZONA CENTRO,ORIGINAL,1,02/03/2010 00:00,,0,0
39,1,AMPLIACION 1,AMPLIACION,1,02/03/2010 00:00,38,1,1
40,23,A-2510-307-6101-C/0034/2010  REHABILITACION DE LOS PAVIMENTOS EN LA ZONA CENTRO DE LA CIUDAD LEON,ORIGINAL,1,01/03/2010 00:00,,0,0
41,2,A-2510-307-6101-C/0035/2010  REHABILITACION DE LOS PAVIMENTOS EN LA ZONA SUR PONIENTE DE LA CIUDAD LEON,ORIGINAL,1,01/03/2010 00:00,,0,0
