Id_Oficio_Asignacion,Año,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
0000000172,2018,DGOP/0136/CONT/2018,DGOP/0136/CONT/2018,2018-06-06 00:00:00,0000000514,0000000529,0000000053,,Obra,0000000001,0000000053,Construcción
0000000173,2018,DGOP/0137/CONT/2018,DGOP/0137/CONT/2018,2018-06-06 00:00:00,0000000512,0000000729,0000000056,,Obra,0000000001,0000000062,Construcción
0000000174,2018,DGOP/0139/CONT/2018,DGOP/0139/CONT/2018,2018-06-06 00:00:00,0000000604,0000000089,0000000088,,Obra,0000000002,0000000061,Construcción
0000000175,2018,DGOP/0140/CONT/2018,DGOP/0140/CONT/2018,2018-06-06 00:00:00,0000000706,0000000613,0000000053,,Obra,0000000002,0000000053,Construcción
0000000176,2018,DGOP/0141/CONT/2018,DGOP/0141/CONT/2018,2018-06-06 00:00:00,0000000578,0000000739,0000000056,,Obra,0000000002,0000000061,Construcción
0000000177,2018,DGOP/0142/CONT/2018,DGOP/0142/CONT/2018,2018-06-06 00:00:00,0000000622,0000000112,0000000056,,Obra,0000000001,0000000061,Construcción
0000000178,2018,DGOP/0144/CONT/2018,DGOP/0144/CONT/2018,2018-06-06 00:00:00,0000000294,0000000309,0000000055,,Obra,0000000002,0000000055,Construcción
0000000179,2018,DGOP/0146/CONT/2018,DGOP/0146/CONT/2018,2018-06-06 00:00:00,0000000302,0000000729,0000000059,,Obra,0000000002,0000000062,Construcción
0000000180,2018,DGOP/0147/CONT/2018,DGOP/0147/CONT/2018,2018-06-07 00:00:00,0000000365,0000000735,0000000059,,Obra,0000000002,0000000062,Construcción
0000000181,2018,DGOP/0150/CONT/2018,DGOP/0150/CONT/2018,2018-06-07 00:00:00,0000000514,0000000254,0000000088,,Obra,0000000001,0000000062,Construcción
