Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
0000000031,0000000077,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-18 00:00:00,DGOP/DAyCFO/0017/2018,2018-05-25 00:00:00,K 19/06/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000032,0000000047,1,ANTICIPO,2018-05-23 00:00:00,10,2018-05-24 00:00:00,2018-07-10 00:00:00,S/N RECAL,2018-06-11 00:00:00,DGOP/DAyCFO/021/2018,2018-06-18 00:00:00,K 25/06/2018,2018-05-14 00:00:00,2018-06-30 00:00:00
0000000033,0000000052,1,ANTICIPO,2018-05-30 00:00:00,18,2018-06-01 00:00:00,2018-08-08 00:00:00,S/N RECAL,2018-06-08 00:00:00,DGOP/DAyCFO/020/2018,2018-06-15 00:00:00,K 25/06/2018,2018-05-14 00:00:00,2018-07-21 00:00:00
0000000034,0000000093,1,ANTICIPO,2018-05-11 00:00:00,21,2018-05-14 00:00:00,2018-08-11 00:00:00,S/N RECAL,2018-05-21 00:00:00,DGOP/DAyCFO/019/2018,2018-05-28 00:00:00,K 25/06/2018,2018-04-23 00:00:00,2018-07-21 00:00:00
0000000035,0000000021,1,ANTICIPO,2018-05-29 00:00:00,36,2018-05-29 00:00:00,2018-07-20 00:00:00,S/N RECAL,2018-06-05 00:00:00,DGOP/DAyCFO/018/2018,2018-06-12 00:00:00,K 25/06/2018,2018-04-23 00:00:00,2018-06-15 00:00:00
0000000036,0000000084,1,ANTICIPO,2018-05-23 00:00:00,9,2018-05-23 00:00:00,2018-07-09 00:00:00,S/N RECAL ,2018-05-30 00:00:00,DGOP/DAyCFO/022/2018,2018-06-06 00:00:00,K 27/06/2018,2018-05-14 00:00:00,2018-06-30 00:00:00
0000000037,0000000089,1,ANTICIPO,2018-05-09 00:00:00,10,2018-05-10 00:00:00,2018-10-08 00:00:00,S/N RECAL,2018-05-17 00:00:00,DGOP/DAyCFO/023/2018,2018-05-24 00:00:00,K 02/07/2018,2018-04-30 00:00:00,2018-09-28 00:00:00
0000000038,0000000038,1,ANTICIPO,2018-06-11 00:00:00,29,2018-06-12 00:00:00,2018-09-03 00:00:00,S/N RECAL,2018-06-18 00:00:00,DGOP/DAyCFO/024/2018,2018-06-25 00:00:00,K 02/07/2018,2018-05-14 00:00:00,2018-08-04 00:00:00
0000000039,0000000100,1,ANTICIPO,2018-06-07 00:00:00,38,2018-06-08 00:00:00,2018-11-12 00:00:00,S/N RECAL,2018-06-14 00:00:00,DGOP/DAyCFO/025/2018,2018-06-21 00:00:00,K 02/07/2018,2018-05-02 00:00:00,2018-10-05 00:00:00
0000000040,0000000129,1,ANTICIPO,2018-06-22 00:00:00,11,2018-06-23 00:00:00,2018-09-19 00:00:00,S/N RECAL,2018-06-29 00:00:00,DGOP/DAyCFO/027/2018,2018-07-06 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-09-08 00:00:00
0000000041,0000000125,1,ANTICIPO,2018-06-28 00:00:00,18,2018-06-28 00:00:00,2018-10-10 00:00:00,S/N RECAL,2018-07-05 00:00:00,DGOP/DAyCFO/0120/2018,2018-07-11 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-09-22 00:00:00
0000000042,0000000130,1,ANTICIPO,2018-06-22 00:00:00,12,2018-06-23 00:00:00,2018-10-11 00:00:00,S/N RECAL ,2018-06-28 00:00:00,DGOP/DAyCFO/029/2018,2018-07-05 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-09-29 00:00:00
0000000043,0000000118,1,ANTICIPO,2018-06-22 00:00:00,21,2018-06-25 00:00:00,2018-09-15 00:00:00,S/N RECAL,2018-07-04 00:00:00,DGOP/DAyCFO/030/2018,2018-07-11 00:00:00,K 11/07/2018,2018-06-04 00:00:00,2018-08-25 00:00:00
0000000044,0000000113,1,ANTICIPO,2018-06-19 00:00:00,9,2018-06-20 00:00:00,2018-07-16 00:00:00,S/N RECAL ,2018-06-26 00:00:00,DGOP/DAyCFO/031/2018,2018-07-03 00:00:00,K 11/07/20118,2018-06-11 00:00:00,2018-07-07 00:00:00
0000000045,0000000072,1,ANTICIPO,2018-06-06 00:00:00,24,2018-06-07 00:00:00,2018-08-14 00:00:00,S/N RECAL ,2018-06-13 00:00:00,DGOP/DAyCFO/032/2018,2018-06-20 00:00:00,K 11/07/2018,2018-05-14 00:00:00,2018-07-21 00:00:00
0000000046,0000000123,1,ANTICIPO,2018-06-04 00:00:00,22,2018-06-05 00:00:00,2018-09-02 00:00:00,S/N RECAL,2018-06-12 00:00:00,DGOP/DAyCFO/033/2018,2018-06-19 00:00:00,K 11/07/2018,2018-05-14 00:00:00,2018-08-11 00:00:00
0000000047,0000000088,1,ANTICIPO,2018-06-13 00:00:00,24,2018-06-14 00:00:00,2018-07-24 00:00:00,S/N RECAL,2018-06-20 00:00:00,DGOP/DAyCFO/026/2018,2018-06-27 00:00:00,K 11/07/2018,2018-05-21 00:00:00,2018-06-30 00:00:00
0000000048,0000000119,1,ANTICIPO,2018-07-05 00:00:00,31,2018-07-05 00:00:00,2018-10-02 00:00:00,S/N RECAL,2018-07-10 00:00:00,DGOP/DAyCFO/034/2018,2018-07-11 00:00:00,K 11/07/2018,2018-06-04 00:00:00,2018-09-01 00:00:00
0000000049,0000000104,1,ANTICIPO,2018-06-19 00:00:00,9,2018-06-20 00:00:00,2018-10-08 00:00:00,S/N RECAL,2018-06-21 00:00:00,DGOP/DAyCFO/035/2018,2018-06-28 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-09-29 00:00:00
0000000050,0000000105,1,ANTICIPO,2018-06-19 00:00:00,9,2018-06-20 00:00:00,2018-10-08 00:00:00,S/N RECAL,2018-06-21 00:00:00,DGOP/DAyCFO/035/2018,2018-06-28 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-09-29 00:00:00
0000000051,0000000097,1,ANTICIPO,2018-06-28 00:00:00,18,2018-06-29 00:00:00,2018-09-03 00:00:00,S/N RECAL,2018-07-05 00:00:00,DGOP/DAyCFO/036/2018,2018-07-11 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-08-16 00:00:00
0000000052,0000000098,1,ANTICIPO,2018-06-28 00:00:00,18,2018-06-29 00:00:00,2018-09-03 00:00:00,S/N RECAL,2018-07-05 00:00:00,DGOP/DAyCFO/036/2018,2018-07-11 00:00:00,K 11/07/2018,2018-06-11 00:00:00,2018-08-16 00:00:00
0000000053,0000000133,1,ANTICIPO,2018-06-07 00:00:00,37,2018-06-08 00:00:00,2018-11-11 00:00:00,S/N RECAL,2018-06-12 00:00:00,DGOP/DAyCFO/037/2018,2018-06-19 00:00:00,K 12/07/2018,2018-05-02 00:00:00,2018-10-05 00:00:00
0000000054,0000000135,1,ANTICIPO,2018-06-25 00:00:00,22,2018-06-26 00:00:00,2018-09-23 00:00:00,S/N RECAL,2018-07-02 00:00:00,DGOP/038/2018,2018-07-09 00:00:00,K 13/07/2018,2018-06-04 00:00:00,2018-09-01 00:00:00
0000000055,0000000083,1,ANTICIPO,2018-07-06 00:00:00,40,2018-07-07 00:00:00,2018-09-27 00:00:00,S/N RECAL,2018-07-13 00:00:00,DGOP/DAyCFO/039/2018,2018-07-16 00:00:00,K 16/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000056,0000000143,1,ANTICIPO,2018-07-03 00:00:00,16,2018-07-04 00:00:00,2018-11-26 00:00:00,S/N RECAL,2018-07-10 00:00:00,DGOP/DAyCFO/040/2018,2018-07-16 00:00:00,K 16/07/2018,2018-06-18 00:00:00,2018-11-10 00:00:00
0000000057,0000000142,1,ANTICIPO,2018-07-03 00:00:00,23,2018-07-04 00:00:00,2018-08-27 00:00:00,S/N RECAL,2018-07-05 00:00:00,DGOP/DAyCFO/0125/2018,2018-07-12 00:00:00,K 16/07/2018,2018-06-11 00:00:00,2018-08-04 00:00:00
0000000058,0000000146,1,ANTICIPO,2018-07-06 00:00:00,40,2018-07-07 00:00:00,2018-09-27 00:00:00,S/N RECAL,2018-07-13 00:00:00,DGOP/DAyCFO/042/2018,2018-07-17 00:00:00,K 17/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000060,0000000124,1,ANTICIPO,2018-06-11 00:00:00,36,2018-06-12 00:00:00,2018-11-15 00:00:00,S/N RECAL,2018-07-16 00:00:00,DGOP/DAyCFO/044/2018,2018-07-17 00:00:00,K 17/07/2018,2018-05-07 00:00:00,2018-10-10 00:00:00
0000000061,0000000138,1,ANTICIPO,2018-07-16 00:00:00,44,2018-07-11 00:00:00,2018-10-01 00:00:00,S/N RECAL,2018-07-16 00:00:00,DGOP/DAyCFO/045/2018,2018-07-17 00:00:00,K 17/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000062,0000000030,1,SITIO,2018-07-20 00:00:00,28,2018-06-04 00:00:00,2018-08-11 00:00:00,S/N RECAL ,2018-06-11 00:00:00,DGOP/CT/REC/073/18,2018-06-18 00:00:00,POR RETRASO EN ENTREGA DE SITIO,2018-05-07 00:00:00,2018-07-14 00:00:00
0000000063,0000000140,1,ANTICIPO,2018-07-18 00:00:00,51,2018-07-18 00:00:00,2018-10-08 00:00:00,S/N RECAL ,2018-07-19 00:00:00,DGOP/046/2018,2018-07-20 00:00:00,K 20/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000064,0000000080,1,ANTICIPO,2018-07-18 00:00:00,52,2018-07-19 00:00:00,2018-10-09 00:00:00,S/N RECAL,2018-07-20 00:00:00,DGOP/047/2018,2018-07-20 00:00:00,K 20/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
