Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
0000000104,0000000430,1,2018-11-21 00:00:00,2018-10-26 00:00:00,2018-12-27 00:00:00,11922.65,0.00,0.00,0000000001
0000000105,0000000431,1,2018-11-21 00:00:00,2018-10-26 00:00:00,2018-12-27 00:00:00,53289.56,0.00,0.00,0000000001
0000000106,0000000488,1,2018-12-07 00:00:00,2018-10-05 00:00:00,2019-01-23 00:00:00,748655.75,30.00,224596.73,0000000001
0000000107,0000000272,1,2018-12-13 00:00:00,2018-08-01 00:00:00,2019-02-02 00:00:00,250007.72,0.00,0.00,0000000001
0000000108,0000000418,1,2018-12-18 00:00:00,2018-11-19 00:00:00,2019-04-19 00:00:00,1255861.01,30.00,376758.30,0000000001
0000000109,0000000555,1,2018-12-20 00:00:00,2018-12-17 00:00:00,2019-04-06 00:00:00,286775.34,0.00,0.00,0000000001
0000000110,0000000475,1,2018-12-13 00:00:00,2018-11-12 00:00:00,2019-03-14 00:00:00,200002.63,0.00,0.00,0000000001
0000000111,0000000553,1,2018-12-18 00:00:00,2018-12-29 00:00:00,2019-05-31 00:00:00,663340.59,30.00,199002.18,0000000001
0000000112,0000000225,1,2019-01-23 00:00:00,2018-08-03 00:00:00,2018-12-29 00:00:00,22913.06,0.00,0.00,0000000001
0000000113,0000000101,1,2018-11-22 00:00:00,2018-05-21 00:00:00,2018-12-17 00:00:00,31071.04,0.00,0.00,0000000001
0000000114,0000000593,1,2018-12-18 00:00:00,2018-12-21 00:00:00,2019-03-10 00:00:00,197187.76,0.00,0.00,0000000001
0000000115,0000000594,1,2018-12-18 00:00:00,2018-12-03 00:00:00,2019-05-25 00:00:00,2511622.47,30.00,753486.74,0000000001
0000000116,0000000597,1,2018-12-20 00:00:00,2019-01-09 00:00:00,2019-05-04 00:00:00,1612343.68,30.00,483703.10,0000000001
0000000117,0000000252,1,2018-12-05 00:00:00,2018-09-20 00:00:00,2019-01-08 00:00:00,83170.84,0.00,0.00,0000000001
0000000118,0000000599,1,2018-12-18 00:00:00,2018-12-03 00:00:00,2019-05-25 00:00:00,2424724.20,0.00,0.00,0000000001
0000000119,0000000598,1,2018-12-20 00:00:00,2018-12-17 00:00:00,2019-04-27 00:00:00,650561.59,30.00,195168.47,0000000001
0000000120,0000000598,2,2019-02-21 00:00:00,2018-12-07 00:00:00,2019-04-27 00:00:00,1740458.76,30.00,522137.61,0000000001
0000000121,0000000487,1,2018-12-18 00:00:00,2018-11-12 00:00:00,2019-04-12 00:00:00,1994547.55,30.00,598364.26,0000000001
0000000122,0000000589,1,2018-12-18 00:00:00,2018-12-11 00:00:00,2019-06-15 00:00:00,19291842.28,30.00,5787552.68,0000000001
0000000123,0000000115,1,2018-12-14 00:00:00,2018-07-16 00:00:00,2018-07-15 00:00:00,2118541.17,30.00,635562.35,0000000001
0000000124,0000000558,1,2018-12-20 00:00:00,2018-12-29 00:00:00,2019-04-06 00:00:00,1931081.53,30.00,579324.46,0000000001
