Id_Capitulo,Clave,Descripcion,Importe
342,1,1 Conceptos,118517.93
343,1,1 Conceptos,26918.78
344,1,1 Conceptos,6650.5
345,1,1 Conceptos,73337.55
346,1,1 Conceptos,213022.35
347,1,1 Conceptos,37828.98
348,1,1 Conceptos,200208.6
349,1,1 Conceptos,57765.68
350,1,1 Conceptos,5235.6
351,1,1 Conceptos,24906
352,1,1 Conceptos,8837.36
353,1,1 Conceptos,1254.88
354,1,1 Conceptos,5260.2
355,1,1 Conceptos,16156.15
356,1,1 Conceptos,18877.74
357,1,1 Conceptos,11617.61
358,1,1 Conceptos,22468.33
359,1,1 CONCEPTOS,14309.96
360,1,1 CONCEPTOS,15616.28
361,1,1 CONCEPTOS,20422.14
362,1,1 CONCEPTOS,24155.88
363,1,1 CONCEPTOS,45378.27
364,1,1 CONCEPTOS,859.17
365,1,1 CONCEPTOS,15699.14
366,1,1 CONCEPTOS,17206.48
367,1,1 CONCEPTOS,31597.06
368,1,1 CONCEPTOS,29442.76
369,1,1 CONCEPTOS,18723.45
370,1,1 CONCEPTOS,381.42
371,1,1 CONCEPTOS,15398.7
372,1,1 CONCEPTOS,22353.33
373,1,1 CONCEPTOS,28775.36
374,1,1 CONCEPTOS,17236
375,1,1 CONCEPTOS,36891.85
376,1,1 CONCEPTOS,586.8
377,1,1 CONCEPTOS,18897.89
378,1,1 CONCEPTOS,60276.98
379,1,1 CONCEPTOS,46914.59
380,1,1 CONCEPTOS,255999.13
381,1,1 CONCEPTOS,17053.69
382,1,1 CONCEPTOS,3106.13
383,1,1 CONCEPTOS,8387.14
384,1,1 CONCEPTOS,5212.62
385,1,1 CONCEPTOS,13708.75
386,1,1 CONCEPTOS,56905.35
387,1,1 CONCEPTOS,1692.53
388,1,1 CONCEPTOS,8716.57
389,1,1 CONCEPTOS,15511.56
390,1,1 CONCEPTOS,3389.36
391,1,1 CONCEPTOS,60215.81
392,1,1 Conceptos,7539
393,1,1 Conceptos,509451.3
394,1,1 Conceptos,150467.36
395,1,1 Conceptos,12905.72
396,1,1 Conceptos,3859.8
397,1,1 Conceptos,91974.06
398,1,1 Conceptos,3672.58
399,1,1 Conceptos,36908.88
400,1,1 Conceptos,38838.73
401,1,1 Conceptos,1643.28
402,1,1 Conceptos,44817.11
403,1,1 CONCEPTOS,679.99
404,1,1 CONCEPTOS,99617.74
405,1,1 CONCEPTOS,22401.63
406,1,1 CONCEPTOS,54744.48
407,1,1 CONCEPTOS,150740.91
408,1,1 CONCEPTOS,4365.13
409,1,1 CONCEPTOS,555.59
410,1,1 CONCEPTOS,76676.92
411,1,1 CONCEPTOS,118403.27
412,1,1 CONCEPTOS,11796.63
413,1,1 CONCEPTOS,10922.5
414,1,1 CONCEPTOS,106377.61
415,1,1 CONCEPTOS,34592.81
416,1,1 CONCEPTOS,1702.55
417,1,1 CONCEPTOS,132.2
418,1,1 CONCEPTOS,42938.49
419,1,1 CONCEPTOS,10077.53
420,1,1 CONCEPTOS,27411.23
421,1,1 CONCEPTOS,33008.85
422,1,1 CONCEPTOS,2069.09
423,1,1 CONCEPTOS,2454.27
424,1,1 CONCEPTOS,1108.95
425,1,1 CONCEPTOS,803.88
426,1,1 CONCEPTOS,1654.38
427,1,1 Conceptos,63024
428,1,1 Conceptos,12092.76
429,1,1 Conceptos,1254.88
430,1,1 Conceptos,5260.2
431,1,1 Conceptos,20652.45
432,1,1 Conceptos,24506.83
433,1,1 Conceptos,12912.52
434,1,1 Conceptos,22468.33
435,1,1 Conceptos,16660.53
436,1,1 Conceptos,1254.88
437,1,1 Conceptos,5260.2
438,1,1 Conceptos,24287.48
439,1,1 Conceptos,30554.23
440,1,1 Conceptos,14956.69
441,1,1 Conceptos,22468.33
442,1,1 Conceptos,27871.12
443,1,1 Conceptos,17231.17
444,1,1 Conceptos,39029.42
445,1,1 Conceptos,29230.12
446,1,1 Conceptos,5260.2
447,1,1 Conceptos,1254.88
448,1,1 Conceptos,21586.47
469,1,1 Conceptos,173659.53
470,1,1 Conceptos,251797.62
471,1,1 Conceptos,23618
472,1,1 Conceptos,39751.15
473,1,1 Conceptos,201941.16
474,1,1 Conceptos,5734.89
475,1,1 Conceptos,5509.45
476,1,1 Conceptos,16007.66
477,1,1 Conceptos,504332.74
478,1,1 CONCEPTOS,6264.77
479,1,1 Conceptos,13250.21
480,1,1 Conceptos,9279.22
481,1,1 Conceptos,81910.87
482,1,1 CONCEPTOS,23381.4
483,1,1 CONCEPTOS,112987.51
484,1,1 CONCEPTOS,39278.14
485,1,1 CONCEPTOS,11874.14
486,1,1 CONCEPTOS,7767.98
487,1,1 CONCEPTOS,162777.27
488,1,1 CONCEPTOS,14207.62
489,1,1 CONCEPTOS,23159.4
