Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
27986,0000000742,26612,6.00,6.00,0.00,6.00,0.00,2405.34,14432.04,0.00,0.00
27987,0000000742,26628,2.00,2.00,0.00,2.00,0.00,82.50,165.00,0.00,0.00
27988,0000000742,26629,1.00,1.00,0.00,1.00,0.00,38.68,38.68,0.00,0.00
27989,0000000742,26630,1.00,1.00,0.00,1.00,0.00,87.03,87.03,0.00,0.00
27990,0000000742,26645,160.00,160.00,0.00,160.00,0.00,82.50,13200.00,0.00,0.00
27991,0000000742,26646,32.00,32.00,0.00,32.00,0.00,38.68,1237.76,0.00,0.00
27992,0000000742,26647,32.00,32.00,0.00,32.00,0.00,87.03,2784.96,0.00,0.00
27993,0000000743,9748,990.01,177.05,100.82,277.87,712.14,25.19,4459.89,0.00,0.00
27994,0000000743,9749,30.68,12.77,0.00,12.77,17.91,290.73,3712.62,0.00,0.00
27995,0000000743,9750,80.94,2.33,70.74,73.07,7.87,2856.57,6655.81,0.00,0.00
27996,0000000743,9751,1033.49,11.30,786.72,798.02,235.47,39.48,446.12,0.00,0.00
27997,0000000743,9752,931.76,14.16,612.48,626.64,305.12,138.93,1967.25,0.00,0.00
27998,0000000743,9756,125.34,132.94,0.00,132.94,-7.60,9.13,1213.74,7.60,7.60
27999,0000000743,9757,125.34,37.89,0.00,37.89,87.45,163.14,6181.37,0.00,0.00
28000,0000000743,9758,162.94,54.67,0.00,54.67,108.27,61.18,3344.71,0.00,0.00
28001,0000000743,9760,125.34,132.94,0.00,132.94,-7.60,11.90,1581.99,7.60,7.60
28002,0000000743,9769,4.32,2.88,0.00,2.88,1.44,163.14,469.84,0.00,0.00
28003,0000000743,9771,3.28,2.07,0.00,2.07,1.21,256.88,531.74,0.00,0.00
28004,0000000743,9772,2.88,2.88,0.00,2.88,0.00,11.90,34.27,0.00,0.00
28005,0000000743,9773,2.88,2.42,0.00,2.42,0.46,124.10,300.32,0.00,0.00
28006,0000000743,9774,2.00,2.00,0.00,2.00,0.00,858.96,1717.92,0.00,0.00
28007,0000000743,9775,11.45,26.45,0.00,26.45,-15.00,177.16,4685.88,15.00,15.00
28008,0000000743,9781,4.41,1.11,0.00,1.11,3.30,110.28,122.41,0.00,0.00
28009,0000000743,9782,1.00,1.00,0.00,1.00,0.00,366.94,366.94,0.00,0.00
28010,0000000743,9783,2.60,1.50,0.00,1.50,1.10,1076.31,1614.47,0.00,0.00
28011,0000000743,9784,8.30,8.40,0.00,8.40,-0.10,934.38,7848.79,0.10,0.10
28012,0000000743,9786,1.00,1.00,0.00,1.00,0.00,6569.34,6569.34,0.00,0.00
28013,0000000744,9748,990.01,748.94,277.87,1026.81,-36.80,25.19,18865.80,36.80,36.80
28014,0000000744,9749,30.68,53.60,12.77,66.37,-35.69,290.73,15583.13,35.69,35.69
28015,0000000744,9750,80.94,11.68,73.07,84.75,-3.81,2856.57,33364.74,3.81,3.81
28016,0000000744,9751,1033.49,91.35,798.02,889.37,144.12,39.48,3606.50,0.00,0.00
28017,0000000744,9752,931.76,87.92,626.64,714.56,217.20,138.93,12214.73,0.00,0.00
28018,0000000744,9754,241.25,238.16,0.00,238.16,3.09,80.46,19162.35,0.00,0.00
28019,0000000744,9755,71.76,71.16,0.00,71.16,0.60,129.51,9215.93,0.00,0.00
28020,0000000744,9766,115.31,23.82,0.00,23.82,91.49,268.55,6396.86,0.00,0.00
28021,0000000744,9767,125.34,132.94,0.00,132.94,-7.60,262.46,34891.43,7.60,7.60
28022,0000000744,9787,11.45,34.19,0.00,34.19,-22.74,80.46,2750.93,22.74,22.74
28023,0000000744,9788,3.19,2.34,0.00,2.34,0.85,129.51,303.05,0.00,0.00
28030,0000000747,15233,1.00,1.00,0.00,1.00,0.00,5509.45,5509.45,0.00,0.00
28031,0000000747,15234,9650.00,9650.00,0.00,9650.00,0.00,2.55,24607.50,0.00,0.00
28032,0000000747,15235,1447.50,1447.50,0.00,1447.50,0.00,200.80,290658.00,0.00,0.00
28033,0000000747,15236,173.70,173.70,0.00,173.70,0.00,16.95,2944.22,0.00,0.00
28034,0000000748,15232,1.00,0.9999,0.00,0.9999,0.0001,2234.48,2234.26,0.00,0.00
28035,0000000749,15237,1.00,1.00,0.00,1.00,0.00,2234.48,2234.48,0.00,0.00
28036,0000000750,15859,1.00,0.9999,0.00,0.9999,0.0001,2234.48,2234.26,0.00,0.00
28037,0000000751,42192,1.00,1.00,0.00,1.00,0.00,57523.10,57523.10,0.00,0.00
28038,0000000751,42193,1.00,1.00,0.00,1.00,0.00,8950.69,8950.69,0.00,0.00
28039,0000000752,42194,1.00,1.00,0.00,1.00,0.00,12850.44,12850.44,0.00,0.00
28040,0000000752,42195,1.00,1.00,0.00,1.00,0.00,28130.74,28130.74,0.00,0.00
28041,0000000752,42200,1.00,1.00,0.00,1.00,0.00,1785.43,1785.43,0.00,0.00
28042,0000000752,42202,1.00,1.00,0.00,1.00,0.00,21812.48,21812.48,0.00,0.00
28043,0000000753,13003,14.00,2.59,8.58,11.17,2.83,61.18,158.46,0.00,0.00
28044,0000000753,13006,160.87,22.50,136.50,159.00,1.87,18.30,411.75,0.00,0.00
28045,0000000753,13012,1132.83,571.88,682.47,1254.35,-121.52,29.63,16944.80,121.52,121.52
28046,0000000753,13013,160.87,48.14,62.20,110.34,50.53,268.55,12928.00,0.00,0.00
28047,0000000753,13014,1132.83,571.88,311.00,882.88,249.95,18.56,10614.09,0.00,0.00
28048,0000000753,13015,179.00,127.31,56.59,183.90,-4.90,308.39,39261.13,4.90,4.90
28049,0000000753,13016,179.00,127.31,56.59,183.90,-4.90,308.39,39261.13,4.90,4.90
28050,0000000753,13017,179.00,127.31,56.59,183.90,-4.90,308.39,39261.13,4.90,4.90
28051,0000000753,13018,21.89,5.95,19.79,25.74,-3.85,81.56,485.28,3.85,3.85
28052,0000000753,13020,47.65,7.96,26.39,34.35,13.30,2362.93,18808.92,0.00,0.00
28053,0000000753,13021,575.58,132.59,440.02,572.61,2.97,49.84,6608.29,0.00,0.00
28054,0000000753,13033,41.28,79.56,264.03,343.59,-302.31,204.76,16290.71,79.56,302.31
28055,0000000754,5385,105.70,98.93,0.00,98.93,6.77,415.31,41086.62,0.00,0.00
28056,0000000754,5383,159.00,17.84,0.00,17.84,141.16,61.18,1091.45,0.00,0.00
28057,0000000754,5388,160.00,51.55,89.09,140.64,19.36,715.00,36858.25,0.00,0.00
28058,0000000754,16449,0.00,23.43,0.00,23.43,-23.43,124.92,2926.88,23.43,23.43
28059,0000000754,16450,0.00,7.27,0.00,7.27,-7.27,157.59,1145.68,7.27,7.27
28060,0000000754,16451,0.00,150.89,0.00,150.89,-150.89,197.25,29763.05,150.89,150.89
28061,0000000754,16452,0.00,134.57,0.00,134.57,-134.57,77.94,10488.39,134.57,134.57
28062,0000000754,16453,0.00,21.87,0.00,21.87,-21.87,144.40,3158.03,21.87,21.87
28063,0000000754,16454,0.00,22.16,0.00,22.16,-22.16,52.95,1173.37,22.16,22.16
28064,0000000754,16455,0.00,35.69,0.00,35.69,-35.69,22.50,803.03,35.69,35.69
28065,0000000755,13891,150.00,32.49,0.00,32.49,117.51,145.34,4722.10,0.00,0.00
28066,0000000755,13892,4.00,2.00,0.00,2.00,2.00,359.29,718.58,0.00,0.00
28067,0000000755,13893,600.00,240.00,300.00,540.00,60.00,113.27,27184.80,0.00,0.00
28068,0000000755,13897,20.00,25.00,48.00,73.00,-53.00,40.48,1012.00,25.00,53.00
28069,0000000755,16240,0.00,123.10,0.00,123.10,-123.10,29.06,3577.29,123.10,123.10
28070,0000000755,16241,0.00,72.50,0.00,72.50,-72.50,29.06,2106.85,72.50,72.50
28071,0000000755,16242,0.00,182.00,0.00,182.00,-182.00,106.33,19352.06,182.00,182.00
28072,0000000755,16445,0.00,55.71,0.00,55.71,-55.71,276.67,15413.29,55.71,55.71
28073,0000000755,16245,0.00,2.00,0.00,2.00,-2.00,513.58,1027.16,2.00,2.00
28074,0000000755,16246,0.00,5.00,0.00,5.00,-5.00,419.63,2098.15,5.00,5.00
28075,0000000756,8288,1.00,1.00,0.00,1.00,0.00,2234.48,2234.48,0.00,0.00
28099,0000000758,8293,1.00,1.00,0.00,1.00,0.00,2234.48,2234.48,0.00,0.00
28100,0000000758,8295,17325.00,1462.39,15634.15,17096.54,228.46,2.55,3729.09,0.00,0.00
28101,0000000758,8296,2598.75,219.36,2345.12,2564.48,34.27,200.80,44047.49,0.00,0.00
28102,0000000758,8297,346.50,4.50,141.70,146.20,200.30,16.95,76.28,0.00,0.00
28103,0000000759,8298,8131.00,916.28,6984.50,7900.78,230.22,2.55,2336.51,0.00,0.00
28104,0000000759,8299,1219.65,137.44,1102.70,1240.14,-20.49,200.80,27597.95,20.49,20.49
28105,0000000759,8301,1.00,1.00,0.00,1.00,0.00,2234.48,2234.48,0.00,0.00
28106,0000000760,2047,247.23,300.50,0.00,300.50,-53.27,142.00,42671.00,53.27,53.27
28107,0000000760,2048,38.90,42.54,0.00,42.54,-3.64,216.44,9207.36,3.64,3.64
28108,0000000761,1701,5.00,2.00,16.00,18.00,-13.00,1965.43,3930.86,2.00,13.00
28109,0000000761,1702,90.00,4.00,25.00,29.00,61.00,99.17,396.68,0.00,0.00
28110,0000000761,1707,23.00,2.00,1.00,3.00,20.00,2220.85,4441.70,0.00,0.00
28111,0000000762,26954,355.00,342.91,0.00,342.91,12.09,3.26,1117.89,0.00,0.00
28112,0000000762,26957,7.00,4.00,0.00,4.00,3.00,690.12,2760.48,0.00,0.00
28113,0000000762,26952,434.03,175.05,0.00,175.05,258.98,32.36,5664.62,0.00,0.00
