Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
170,0000000076,0000000006,0.100000
171,0000000077,0000000004,0.005000
172,0000000077,0000000007,0.010000
173,0000000077,0000000006,0.100000
174,0000000078,0000000001,0.002000
175,0000000078,0000000003,0.010000
176,0000000079,0000000001,0.002000
177,0000000079,0000000003,0.010000
178,0000000080,0000000001,0.002000
179,0000000080,0000000003,0.010000
180,0000000081,0000000001,0.002000
181,0000000081,0000000003,0.010000
182,0000000082,0000000001,0.002000
183,0000000082,0000000003,0.010000
184,0000000083,0000000001,0.002000
185,0000000083,0000000003,0.010000
186,0000000084,0000000001,0.002000
187,0000000084,0000000003,0.010000
188,0000000085,0000000001,0.002000
189,0000000085,0000000003,0.010000
190,0000000086,0000000001,0.002000
191,0000000086,0000000003,0.010000
192,0000000087,0000000002,0.005000
193,0000000088,0000000001,0.002000
194,0000000088,0000000003,0.010000
195,0000000089,0000000001,0.002000
196,0000000089,0000000003,0.010000
197,0000000090,0000000004,0.005000
198,0000000091,0000000004,0.005000
199,0000000092,0000000004,0.005000
200,0000000093,0000000001,0.002000
201,0000000093,0000000003,0.010000
202,0000000094,0000000001,0.002000
203,0000000094,0000000003,0.010000
204,0000000095,0000000001,0.002000
205,0000000095,0000000003,0.010000
206,0000000096,0000000001,0.002000
207,0000000096,0000000003,0.010000
208,0000000097,0000000001,0.002000
209,0000000097,0000000003,0.010000
210,0000000098,0000000001,0.002000
211,0000000098,0000000003,0.010000
212,0000000099,0000000001,0.002000
213,0000000099,0000000003,0.010000
214,0000000100,0000000001,0.002000
215,0000000100,0000000003,0.010000
216,0000000101,0000000004,0.005000
217,0000000102,0000000004,0.005000
218,0000000103,0000000001,0.002000
219,0000000103,0000000003,0.010000
220,0000000104,0000000004,0.005000
221,0000000105,0000000004,0.005000
222,0000000106,0000000001,0.002000
223,0000000106,0000000003,0.010000
224,0000000107,0000000001,0.002000
225,0000000107,0000000003,0.010000
226,0000000108,0000000004,0.005000
227,0000000109,0000000004,0.005000
228,0000000110,0000000004,0.005000
229,0000000111,0000000004,0.005000
230,0000000112,0000000001,0.002000
231,0000000112,0000000003,0.010000
232,0000000113,0000000001,0.002000
233,0000000113,0000000003,0.010000
234,0000000114,0000000004,0.005000
235,0000000114,0000000006,0.100000
236,0000000114,0000000007,0.010000
237,0000000115,0000000001,0.002000
238,0000000115,0000000003,0.010000
239,0000000116,0000000001,0.002000
240,0000000116,0000000003,0.010000
241,0000000117,0000000001,0.002000
242,0000000117,0000000003,0.010000
243,0000000118,0000000001,0.002000
244,0000000118,0000000003,0.010000
245,0000000119,0000000001,0.002000
246,0000000119,0000000003,0.010000
247,0000000120,0000000001,0.002000
248,0000000120,0000000003,0.010000
249,0000000121,0000000001,0.002000
250,0000000121,0000000003,0.010000
251,0000000122,0000000001,0.002000
252,0000000122,0000000003,0.010000
253,0000000123,0000000001,0.002000
254,0000000123,0000000003,0.010000
255,0000000124,0000000001,0.002000
256,0000000124,0000000003,0.010000
257,0000000125,0000000001,0.002000
258,0000000125,0000000003,0.010000
259,0000000126,0000000001,0.002000
260,0000000126,0000000003,0.010000
261,0000000127,0000000001,0.002000
262,0000000127,0000000003,0.010000
263,0000000128,0000000001,0.002000
264,0000000128,0000000003,0.010000
265,0000000129,0000000001,0.002000
266,0000000129,0000000003,0.010000
267,0000000130,0000000001,0.002000
268,0000000130,0000000003,0.010000
269,0000000131,0000000001,0.002000
270,0000000131,0000000003,0.010000
271,0000000132,0000000001,0.002000
272,0000000132,0000000003,0.010000
